question,act
What is the purpose of the Act of Parliament to give effect to Article 53 of the Constitution?,Children Act
What Act may be cited as the Children Act?,Children Act
"What does ""adoption order"" mean?",Children Act
"What is the meaning of ""alternative care"" under section 2 of the Basic Education Act (Cap. 211)?",Children Act
What is the name of the chief executive officer of the Council appointed under section 48?,Children Act
a child who has not attained the age of eighteen years?,Children Act
What is the term for a child sex tourism and child trafficking?,Children Act
What is the name of a child care facility?,Children Act
"What is the term for a person who is above the age of twelve years, but below the age of eighteen years, who has been dealt with or punished in accordance with Part VII of this Act or any other written law for contravention of the law?",Children Act
"What is the purpose of the ""children’s remand home""?",Children Act
"What is the meaning of ""corporal punishment""?",Children Act
"What is the meaning of a cane or other object, with the intention of inflicting pain or discomfort for the purpose of corrective discipline or punishment?",Children Act
"What does ""diversion"" mean in conflict with the law in a police cell, place of safety, rehabilitation school, child protection unit, child rescue center, children remand home or other residential facility in which the child is deprived of liberty?",Children Act
"What is the meaning of ""family time order"" under section 2 of the Prohibition of Female?",Children Act
"What is the meaning of ""female genital mutilation"" under section 2 of the Prohibition of Female Genital Mutilation Act (Cap. 62B); ""fit person"" means a person in respect of whom it is shown to the satisfaction of the Court to be of high moral character and integrity, and who is capable of exercising proper care and guardianship of a child; ""forced male circumcision"" comprises all procedures involving partial or total removal of the male genitalia or other injury to the male genital organs, or any harmful procedure to the male genitalia, for non-medical reasons, that is performed with or without any undue influence, inducement, enticement, coercion, or intimidation on a male child— (a) without consent of the child’s parents or guardian; (b) belonging to a community that does not practice male circumcision and without the consent of the child's parents or guardian; (c) with the intention?",Children Act
"What does ""foster care placement"" mean?",Children Act
What is the name of the person who is appointed under Part X to exercise care and control of a child?,Children Act
"What is the term for a parent, guardian or relative having or having had more than one permanent place of residence, the parent, guardian or relative shall be presumed to be or to have been permanently resident at the place of such person’s principal permanent residence; and (b) where the Court is unable to determine the home of any such child, the child shall be deemed, for the purposes of this Act, to have his home in the local jurisdiction of the area he or she is found; ""Inspector General"" means the Inspector General of Police appointed under Article 245(2)(a) of the Constitution; ""intersex child"" means a child with a congenital condition in which the biological sex characteristics cannot be exclusively categorised in the common binary of female or male due to inherent and mixed anatomical, hormonal, gonadal or chromosomal patterns, which could be apparent prior to, at birth, in childhood, puberty or adulthood; ""kafaalah"" means a child with a congenital condition in which the biological sex characteristics cannot be exclusively categorised in the common binary of female or male?",Children Act
"What is the meaning of ""legal custody""?",Children Act
"What is the meaning of ""maintenance order""?",Children Act
What is the meaning of the Births and Deaths Registration Act?,Children Act
"What is the meaning of ""Public Benefit Organizations"" under section 5 of the Public Benefits Organisations Act (No. 18 of 2013); ""radicalization"" means a process by which a person comes to adopt extreme political, social, or religious ideals and aspirations that are aimed at inciting the person to violence or into any behavior and belief that is harmful to the child?",Children Act
"What does ""rehabilitation institution"" mean in relation to a child, any person related to the child, whether of the full blood, half blood or by affinity and, where an adoption order has been made in respect of the child or any other person under this Act, any person who would be a relative of the child within the meaning of this definition if the adopted person was the child of the adopter born inside marriage; and (b) for the purpose of adoption, a mother, father, brother or half brother, sister or half-sister, maternal or paternal uncle or aunt or grandparent or step-parent of?",Children Act
What is the term for a person who resides in Kenya?,Children Act
"What is the meaning of ""secretary"" and ""spouse""?",Children Act
What is the term for a child under the supervision and guidance of a mentor or peer in order to monitor and guide the child's behavior?,Children Act
"What does ""vulnerable child"" mean?",Children Act
What are the objectives of this Act?,Children Act
What is the name of a judicial or administrative institution or any person making an interpretation as to conflict of any provision or laws shall have regard to the best interests of a child?,Children Act
What shall the State take measures to progressively achieve the full realization of the rights of the child set out in this Part?,Children Act
"What is the right of every child to life, survival, wellbeing, protection and development?",Children Act
"What is the name of a child found in Kenya who is or appears to be less than eight years of age, and whose nationality and parents are not known, shall be presumed to be a citizen by birth?",Children Act
What is the main purpose of this Act?,Children Act
What shall the Cabinet Secretary issue guidelines to give effect to this section?,Children Act
"What is the name of a person who contravenes sub-section (1) commits an offence and shall, on conviction, be liable to imprisonment for a term not exceeding twelve months or to a fine not exceeding two hundred thousand shillings or to both?",Children Act
Which section of the Constitution prohibits discrimination against a child under this Act or under the Constitution?,Children Act
"Where a child is separated from his or her parents under subsection (3), the child shall be provided with the best alternative care available, in accordance with this Act or any other written law, giving priority to family based alternative care.?",Children Act
What is the purpose of the Secretary to facilitate the tracing and reunification of the child with the parent or parents?,Children Act
What is a legal term for a child?,Children Act
What are the objectives of alternative care under subsection (2) to facilitate the provision of parental care and protection of a child in accordance with the best interest and wellbeing of the child?,Children Act
What is the purpose of the removal of a child from his or her family for the purpose of placing him or her in alternative care?,Children Act
What is the purpose of a child under the age of three years of age placed in alternative care?,Children Act
What is the purpose of the Child Welfare Fund to facilitate the realisation of the right guaranteed by Article 43(3) of the Constitution in respect of all reasonable expenses incurred in relation to alternative care and other social security?,Children Act
What does the Constitution entail in respect of all reasonable expenses incurred in relation to alternative care and other social security programmes designed to facilitate the realisation of the welfare of the child?,Children Act
What shall every child have the right to free and compulsory basic education in accordance with Article 53(1)(b) of the Constitution?,Children Act
What shall be the responsibility of the government and of every parent or guardian to permit and facilitate the enjoyment of his or her child of the right to leisure and play at any public recreational facility?,Children Act
"What is the right of every child to freedom of thought, conscience, religion and religious education subject to appropriate parental guidance?",Children Act
"What is the right to access to age-appropriate information on health promotion and the prevention and treatment of ill-health and disease, mental health and reproductive health?",Children Act
What is the responsibility of every parent or guardian to present his or her child who is in need of health care to a suitable health care facility and to ensure that the child receives appropriate health care services?,Children Act
What is the purpose of subsection (7) of subsection (7)?,Children Act
What is the legal status of a person who contravenes subsection (2) or otherwise deprives a child of any property or benefit accruing to the child under or by virtue of the law relating to inheritance?,Children Act
"In addition to the penal sanctions prescribed in subsection (3), the child shall be entitled to full restitution or what property of benefit accruing to the child?",Children Act
"What is the meaning of ""employment"" in subsection (1)—a) ""employment"" has the meaning assigned to it under section 52 of the Employment Act (Cap. 226); (b) the provisions of Part VII of the Employment Act (Cap. 226) shall apply with necessary modifications in addition to, and not in substitution for, the provisions of this Act relating to the employment of children or subjection of children to child labour.?",Children Act
What is the name of the person who has attained the age of thirteen but have not attained the age of sixteen years?,Children Act
"What does the State establish to facilitate the protection, rehabilitation, care, recovery and re-integration into normal social life, of any child who may be a recruit or victim of armed conflict, social strife or natural disaster?",Children Act
What is a legal term used to describe a law?,Children Act
What are the rights and privileges provided under subsection (1) of the Persons with Disabilities Act (Cap. 133)?,Children Act
"What is the right of an intersex child to have the right to be treated with dignity, and to be accorded appropriate medical treatment, special care, education, training and consideration as a special need category in social protection services?",Children Act
What does the Sexual Offences Act prohibit?,Children Act
What does the reference in subsection (3)(c) to online abuse include?,Children Act
"What is the definition of ""bullying""?",Children Act
"What does a person who contravenes the provisions of subsection (1) commits an offence and shall, on conviction, be liable to imprisonment for a term of not less than three years or to a fine of not less than five hundred thousand shillings, or to both?",Children Act
"What is the cause of death to a child, whether directly or indirectly, in consequence of other related procedure in contravention of subsection (1) (a)?",Children Act
"What is the name of the person who contravenes the provisions of subsection (1) commits an offence and shall, on conviction, be liable to imprisonment for a term not exceeding five years or to a fine not less than five hundred thousand shillings, or to both?",Children Act
"What is the right to freedom from torture and cruel, inhuman or degrading treatment or punishment as provided under Article 25 (a) of the Constitution?",Children Act
What does the Prevention of Torture Act mean?,Children Act
"What shall be held separately from adults in facilities, including transportation facilities, appropriate to their special needs and age?",Children Act
"What is the name of the Act that states that children with disabilities deprived of liberty or accommodated in child protection units shall be accommodated in facilities that adequately meet their personal needs, taking into account the condition and nature of the disability?",Children Act
What does the Data Protection Act require parents and legal guardians to do?,Children Act
"What is the right of a child to assemble, demonstrate, and present petitions?",Children Act
