question,act
What is the purpose of the Constitution of Kenya?,Constitution of Kenya
"What is the name of the person who has participated fully in the making of this Constitution: ADOPT, ENACT and give this Constitution to ourselves and to our future generations?",Constitution of Kenya
What is the name of the country that the people of Kenya exercise their sovereign power?,Constitution of Kenya
What is the legality of this Constitution?,Constitution of Kenya
"Which of the following is not a legal term for a person who has an obligation to respect, uphold and defend this Constitution?",Constitution of Kenya
What is the name of the Republic of Kenya?,Constitution of Kenya
What is the legal basis of Kenya?,Constitution of Kenya
Where is the territory of Kenya divided into the counties specified in the First Schedule?,Constitution of Kenya
What are the official languages of the Republic of Kenya?,Constitution of Kenya
What is the name of the state that has no state religion?,Constitution of Kenya
What are the national symbols of the Republic?,Constitution of Kenya
What are the national values and principles of governance in this Article?,Constitution of Kenya
What is the purpose of the Constitution to recognise culture as the foundation of the nation and as the cumulative civilization of the Kenyan people and nation?,Constitution of Kenya
What is the best title for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for a legal term for?,Constitution of Kenya
"What is a Kenyan passport and any document referred to in clause (1)(b) may be denied, suspended or confiscated only in accordance with an Act of Parliament that satisfies the criteria referred to in Article 24?",Constitution of Kenya
What is the legal status of every person who was a citizen immediately before the effective date?,Constitution of Kenya
"What is a child found in Kenya who is, or appears to be, less than eight years of age, and whose nationality and parents are not known, is presumed to be a citizen by birth?",Constitution of Kenya
What is the legal status of a person who is a Kenyan citizen by birth and who has ceased to be a Kenyan citizen because the person acquired citizenship of another country?,Constitution of Kenya
What does the Act of Parliament require a person who has been married to a citizen for a period of at least seven years to apply to be registered as a citizen?,Constitution of Kenya
What is the name of the person who is entitled to be registered as a citizen?,Constitution of Kenya
What does a citizen do if he loses citizenship?,Constitution of Kenya
What may be revoked if a person acquired citizenship by registration?,Constitution of Kenya
"What may be revoked if the citizenship of a person who was presumed to be a citizen by birth, as contemplated in Article 14(4), may be revoked if—a) the citizenship was acquired by fraud, false representation or concealment of any material fact by any person; (b) the nationality or parentage of the person becomes known, and reveals that the person was a citizen of another country; or (c) the age of the person becomes known, and reveals that the person was older than eight years when found in Kenya.?",Constitution of Kenya
What does the Parliament enact in this chapter?,Constitution of Kenya
What is the purpose of recognising and protecting human rights and fundamental freedoms in the Bill of Rights?,Constitution of Kenya
"In applying a provision of the Bill of Rights, a court shall—a) develop the law to the extent that it does not give effect to a right or fundamental freedom; and (b) adopt the interpretation that most favours the enforcement of a right or fundamental freedom.?",Constitution of Kenya
"What is the name of the law that states that a court, tribunal or other authority shall be guided by?",Constitution of Kenya
What is the best title for a lawyer?,Constitution of Kenya
"What is a fundamental duty of the State and every State organ to observe, respect, protect, promote and fulfil the rights and fundamental freedoms in the Bill of Rights?",Constitution of Kenya
"The Chief Justice shall make rules providing for the court proceedings referred to in this Article, which shall satisfy the criteria that—a) the rights of standing provided for in clause (2) are fully facilitated;b) formalities relating to the?",Constitution of Kenya
What is the purpose of the article?,Constitution of Kenya
What is the legal basis of the law?,Constitution of Kenya
"What is a declaration of invalidity of any law that denies, violates, infringes, or threatens a right or fundamental freedom in the Bill of Rights and is not justified under Article 24?",Constitution of Kenya
What is not justified under Article 24?,Constitution of Kenya
What is the nature of the right or fundamental freedom in the Bill of Rights?,Constitution of Kenya
"What shall the State or a person seeking to justify a particular limitation demonstrate to the court, tribunal or other authority that the requirements of this Article have been satisfied?",Constitution of Kenya
What are the provisions of this Chapter on equality?,Constitution of Kenya
What is the right to a fair trial?,Constitution of Kenya
What does a person have the right to live?,Constitution of Kenya
"Which of the following is not a right to equal treatment: race, sex, pregnancy, marital status, health status, ethnic or social origin, colour, age, disability, religion, conscience, belief, culture, dress, language or birth?",Constitution of Kenya
What is the purpose of the measure taken under clause (6) to implement the principle that not more than two-thirds of the members of elective or appointive bodies shall be of the same gender?,Constitution of Kenya
What is the right of every person to have that dignity respected and protected?,Constitution of Kenya
What is the right to freedom and security of the person?,Constitution of Kenya
What does a person have to do to be held in slavery or servitude?,Constitution of Kenya
What does a person have the right to have?,Constitution of Kenya
"What is the right to freedom of conscience, religion, thought, belief and opinion?",Constitution of Kenya
What does the right to freedom of expression do not extend to?,Constitution of Kenya
Which of the following is not a right of the State to regulate the airwaves and other forms of signal distribution?,Constitution of Kenya
"What is the purpose of Parliament to enact legislation that provides for the establishment of a body, which shall—a) be independent of control by government, political interests or commercial interests; and (b) reflect the interests of all sections of the society; and (c) set media standards and regulate and monitor compliance with those standards.?",Constitution of Kenya
How does the State publish and publish any important information affecting the nation?,Constitution of Kenya
"What does a person have the right to form, join or participate in the activities of an association of any kind?",Constitution of Kenya
"What is the right of every person to assemble, demonstrate, picket, and present petitions to public authorities?",Constitution of Kenya
"What is the right to free, fair and regular elections based on universal suffrage and the free expression of the will of the electors for?",Constitution of Kenya
"What is a political party of which the citizen is a member and, if elected, to hold office?",Constitution of Kenya
How many people have the right to freedom of movement?,Constitution of Kenya
"Which of the following is not a law that permits the State or any person to acquire and own property: a) a description, b) any description, c) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description, d) any description?",Constitution of Kenya
What is a right of access to a court of law?,Constitution of Kenya
What are the rights of intellectual property rights of the people of Kenya?,Constitution of Kenya
Who has the right to participate in collective bargaining?,Constitution of Kenya
"What is the right of every person to a clean and healthy environment, which includes the right—(a) to have the environment protected for the benefit of present and future generations through legislative and other measures, particularly those contemplated in Article 69; and (b) to have obligations relating to the environment fulfilled under Article 70?",Constitution of Kenya
How does the State provide adequate social security to persons who are unable to support themselves and their dependants?,Constitution of Kenya
"What is the right of a person belonging to a cultural or linguistic community to perform, observe or undergo any cultural practice or rite?",Constitution of Kenya
What is the legal basis of this Constitution?,Constitution of Kenya
What is the legal basis of this Constitution?,Constitution of Kenya
What is the right of consumers to gain full benefit from goods and services?,Constitution of Kenya
What is the legal basis of the law?,Constitution of Kenya
"What does the State do to ensure access to justice for all persons and, if any fee is required, it shall be reasonable and shall not hinder access to justice?",Constitution of Kenya
