question,act
What is the name of the Act of Parliament to make provision for the procedure to be followed in criminal cases?,Criminal Procedure Code
What does the Criminal Procedure Code refer to?,Criminal Procedure Code
"What is a non-cognizable offence that means an offence for which a police officer may, in accordance with the First Schedule or under any law for the time being in force, arrest without warrant?",Criminal Procedure Code
"What is the meaning of ""plea agreement""?",Criminal Procedure Code
"What is the name of the person appointed under section 85 or a person acting under the direction of the Director of Public Prosecutions; ""Registrar of the High Court"" includes a Deputy Registrar of the High Court and a district registrar of the High Court; ""summary trial"" means a trial held by a subordinate court under Part VI. [Act No. 39 of 1951, s. 2, Act No. 22 of 1959, s. 2, Act No. 15 of 1961, Sch., Act No. 28 of 1961, Sch., Act No. 36 of 1962, Sch., Act No. 13 of 1967, First Sch., Act No. 17 of 1967, s. 23, Act No. 8 of 1968, Sch., Act No. 13 of 1982, s. 2, L.N. 124/1964, Act No. 14 of 1991, Sch., Act No. 5 of 2003, s. 59, Act No. 7 of 2007, Act No. 11 of 2008, s. 2, Act No.?",Criminal Procedure Code
"Act No. 5 of 2003, s. 59, Act No. 7 of 2007, Act No. 11, 2008, s. 2, Act No. 12 of 2012, Sch., Act No. 19 of 2023, Sch.]?",Criminal Procedure Code
"The High Court may, subject to the provisions of any law for the time being in force, in exercising its criminal jurisdiction in respect of any matter or thing to which the procedure prescribed by this Code is inapplicable, exercise that jurisdiction according to the course of procedure and practice observed by and before the High Court of Justice in England at the date of the coming into operation of this Code.?",Criminal Procedure Code
"What is the name of the person who is a member of the armed forces or police forces of another country lawfully present in Kenya as a consequence of an agreement between the government of that other country and the Government of Kenya, in which agreement provision is made in respect of offences under the Penal Code (Cap. 63) or any other written law for the detention or punishment of that person or the inquiry into, trial or other disposal of those offences, nothing done or omitted in accordance with such a provision shall be or shall be deemed to be unlawful or contrary to the provisions of this Code, or any other written law.?",Criminal Procedure Code
"What are the provisions of this Code, or any other written law. [Act No. 20 of 1965, s. 2]?",Criminal Procedure Code
"What is the name of the court where an offence under the Penal Code (Cap. 63) may be tried by the High Court, or by a subordinate court by which the offence is shown in the fifth column of the First Schedule to this Code to be triable?",Criminal Procedure Code
What is the name of the court in which the offence is shown in the fifth column of the First Schedule to this Code to be triable?,Criminal Procedure Code
What does the High Court do?,Criminal Procedure Code
"What is the term for a subordinate court of the first class held by— (a) a chief magistrate, senior principal magistrate, principal magistrate or senior resident magistrate, may pass any sentence authorized by law for any offence triable by that court; (b) a resident magistrate may pass any sentence authorized by law for an offence under section 278, 308(1) or 322 of the Penal Code (Cap. 63) or under the Sexual Offences Act (Cap. 63A). (2) Subject to subsection (1), a subordinate court of the first class may pass the following sentences in cases where they are authorized by law— (a) imprisonment for a term not exceeding seven years; (b) a fine not exceeding twenty thousand shillings; (c) repealed by Act No. 5 of 2003, s. 60. (3) A subordinate court of the second class may pass the following sentences in cases where they are authorized by law— (a) imprisonment for a term not exceeding seven years?",Criminal Procedure Code
"[Act No. 42 of 1952, s. 2, Act No. 57 of 1955, s. 4, Act No. 33 of 1963, Sch., Act No. 17 of 1967, s. 24, Act No. 3 of 1969, s. 6, Act No. 25 of 1971, Sch., Act No. 4]?",Criminal Procedure Code
What is the name of the person who was born in 1967?,Criminal Procedure Code
What does the Judicial Service Commission have to do to extend the jurisdiction of any particular magistrate under section 7?,Criminal Procedure Code
What is the name of the court that is authorized by law to pass a lawful sentence?,Criminal Procedure Code
"What is the purpose of subsection (3), when a person is convicted at one trial of two or more distinct offences, the court may sentence him, for those offences, to the several punishments prescribed therefor which the court is competent to impose; and those punishments when consisting of imprisonment shall commence the one after the expiration of the other in the order the court may direct, unless the court directs that the punishments shall run concurrently. (2) In the case of consecutive sentences, it shall not be necessary for the court, by reason only of the aggregate punishment for the several offences being in excess of the punishment which it is competent to impose on conviction of a single offence, to send the offender for trial before a higher court. (3) Except in cases to which section 7(1) applies, nothing in this section shall authorize a subordinate court to pass, on any?",Criminal Procedure Code
What is the name of the court that imposes a single sentence in cases to which section 7(1) applies?,Criminal Procedure Code
"In what year was s. 4, Act No. 4 of 1974, Sch.]?",Criminal Procedure Code
What is the name of the court that passes a sentence of imprisonment for a term of not more than two years for any offence?,Criminal Procedure Code
What is the name of the legal entity that is a member of the United States House of Representatives and is a member of the United States House of Representatives?,Criminal Procedure Code
What is a legal term used to refer to a crime?,Criminal Procedure Code
What does the police officer or other person make of the body of the person to be arrested?,Criminal Procedure Code
"If any person acting under a warrant of arrest, or any police officer having authority to arrest, has reason to believe that the person to be arrested has entered into or is within any place, the person residing in or being in charge of that place shall, on demand of the person so acting or the police officer, allow him free ingress thereto and afford all reasonable facilities for a search therein.?",Criminal Procedure Code
