question,act
What is ACT CAP. 411C?,Data Protection Act
What Act may be cited as the Data Protection Act?,Data Protection Act
"What is the name of the Secretary of State responsible for matters relating to information, communication and technology?",Data Protection Act
What is the name of the person appointed under section 6?,Data Protection Act
"What is the term for a person who can be identified directly or indirectly, by reference to an identifier such as a name?",Data Protection Act
"What is the meaning of ""person""?",Data Protection Act
"What does ""pseudonymisation"" mean?",Data Protection Act
What is the name of the third party?,Data Protection Act
What is the legal term for a person who is authorised to process personal data?,Data Protection Act
What is the purpose of this Act?,Data Protection Act
What does the Act apply to the processing of personal data?,Data Protection Act
"What does the Data Commissioner do in consultation with the Cabinet Secretary, establish such directorates as may be necessary for the proper performance of the functions of the Office?",Data Protection Act
"What shall the Data Commissioner do in consultation with the Cabinet Secretary, establish such directorates as may be necessary for the better carrying of the functions of the Office?",Data Protection Act
"What shall the Public Service Commission, whenever a vacancy arises in the position of the Data Commissioner, initiate the recruitment process?",Data Protection Act
What is the name of the person nominated under paragraph (e) to the President?,Data Protection Act
What is the name of the person who has knowledge and relevant experience of not less than ten years?,Data Protection Act
"The Office shall—a) oversee the implementation of and be responsible for the enforcement of this Act; (b) establish and maintain a register of data controllers and data processors; (c) exercise oversight on data processing operations, either of own motion or at the request of a data subject, and verify whether the processing of data is done in accordance with this Act; (d) promote self-regulation among data controllers and data processors; (e) conduct an assessment, on its own initiative of a public or private body, or at the request of a private or public body for the purpose of ascertaining whether information is processed according to the provisions of this Act or any other relevant law; (f) receive and investigate any complaint by any person on infringements of the rights under this Act; (g) take such measures as may be necessary to bring the provisions of this Act to?",Data Protection Act
What does the Office of the Data Commissioner do in the performance of its functions?,Data Protection Act
What is the purpose of the Data Commissioner to act independently in exercise of powers and carrying out of functions under this Act?,Data Protection Act
The Data Commissioner may enter into association with other bodies or organizations within and outside Kenya as?,Data Protection Act
What is the purpose of the Data Commissioner?,Data Protection Act
What does the Data Commissioner have to do with the power conferred under this Act or any other written law to a regulator established through an Act of Parliament?,Data Protection Act
How does the Office of the Data Commissioner become vacant?,Data Protection Act
What is the purpose of a complaint to the Public Service Commission?,Data Protection Act
What does the Data Commissioner do in consultation with the Public Service Commission?,Data Protection Act
What does the Data Commissioner and Staff of the Office pay?,Data Protection Act
What is the name of the Data Commissioner?,Data Protection Act
What does the Data Commissioner do?,Data Protection Act
What shall the Data Commissioner or any staff of the Office not be held liable for having performed any of their functions in good faith and in accordance with this Act?,Data Protection Act
What shall the Data Commissioner consider in making such determination?,Data Protection Act
What is the purpose of the application under subsection (1)?,Data Protection Act
What shall the Data Commissioner do if a data controller or data processor fails to comply with the provisions of this section?,Data Protection Act
What is the purpose of a registration certificate issued under section 19?,Data Protection Act
What is the purpose of the Data Commissioner to keep and maintain a register of the registered data controllers and data processors?,Data Protection Act
"What does the Data Commissioner do on a notice to show cause, on issuance of a notice to show cause, or cancel the registration where—a) any information given by the applicant is false or misleading; or (b) the holder of the registration certificate, without lawful excuse, fails to comply with any requirement of this Act.?",Data Protection Act
What does the Data Commissioner do to ensure compliance with this Act?,Data Protection Act
"A data controller or data processor may designate or appoint a data protection officer on such terms and conditions as the data controller or data processor may determine, where— (a) the processing is carried out by a public body or private body, except for courts acting in their judicial capacity; (b) the core activities of the data controller or data processor consist of processing operations which, by virtue of their nature, their scope or their purposes, require regular and systematic monitoring of data subjects; or (c) the core activities of the data controller or data processor consist of processing of sensitive categories of personal data.?",Data Protection Act
What is the purpose of a data protection officer?,Data Protection Act
What is the purpose of the Data Commissioner?,Data Protection Act
What is the purpose of identifying the data subjects for no longer than is necessary for the purposes which it was collected?,Data Protection Act
What does a data subject have to do with the data subject?,Data Protection Act
What is the right of a data subject to be informed of the use of their personal data?,Data Protection Act
What is a right conferred on a data subject?,Data Protection Act
"What is the purpose of a data controller or data processor to collect, store or use personal data?",Data Protection Act
What is the purpose of a data controller or data processor?,Data Protection Act
What does the Data Controller or Data Processor need to do before collecting personal data?,Data Protection Act
"What are the consequences if any, where the data subject fails to provide all or any part of the requested data?",Data Protection Act
What is the purpose of the data controller or data processor?,Data Protection Act
What is the purpose of a data controller who contravenes the provisions of subsection (1)?,Data Protection Act
What is the purpose of the data protection impact assessment?,Data Protection Act
What does the Data Commissioner set out guidelines for carrying out an impact assessment under this section?,Data Protection Act
What is the purpose of the guidelines for carrying out an impact assessment under this section?,Data Protection Act
What shall a data subject have the right to withdraw consent at any time?,Data Protection Act
What type of data controller or data processor shall not process personal data relating to a child unless—a) consent is given by the child's parent or guardian; and (b) the processing is in such a manner that protects and advances the rights and best interests of the child.?,Data Protection Act
What is the purpose of the data controller or the data processor that exclusively provides counselling or child protection services to a child may not be required to obtain parental consent as set out under subsection (1)?,Data Protection Act
What is the purpose of a data controller or data processor to restrict the processing of personal data?,Data Protection Act
"What does the data controller or data processor do to ensure that time limits established for the rectification, erasure or restriction of processing of personal data, or for a periodic review of the need for the storage of the personal data, is observed?",Data Protection Act
"Where a data controller or data processor takes a decision, which produces legal effects or significantly affects the data subject based solely on automated processing—a) the data controller or data processor must, as soon as reasonably practicable, notify the data subject in writing that a decision has been taken based solely on automated processing—a)?",Data Protection Act
"What is the purpose of a data controller or data processor, upon receipt of a request under subsection (3), shall within a reasonable period of time—a) consider the request, including any information provided by the data subject that is relevant to it; (b) comply with the request; and (c) inform the data subject of—i) the steps taken to comply with the request; and (ii) the outcome of complying with the request.?",Data Protection Act
What is the purpose of the Regulations?,Data Protection Act
What is the right of a data subject to object to the processing of their personal data?,Data Protection Act
What is the purpose of the data controller or data processor that uses personal data for commercial purposes?,Data Protection Act
Data Commissioner may make a determination on the technical capacity of the data controller or processor.?,Data Protection Act
What is the purpose of a data controller or data processor?,Data Protection Act
What does a data controller or data processor do?,Data Protection Act
What is the purpose of the data subject's request for a data controller or data processor?,Data Protection Act
What does the Data Controller or Data Processor need to do to rectify or erase personal data under subsection (1)?,Data Protection Act
"Which data controller or data processor shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which is necessary for each specific purpose is processed, taking into consideration—a) the amount of personal data collected;b) the extent of its processing;c) the period of its storage;d) its accessibility;and (e) the cost of processing data and the technologies and tools used.?",Data Protection Act
What is the purpose of the data controller or data processor to consider measures such as— (a) to identify reasonably foreseeable internal and external risks to personal data under the person's possession or control; (b) to establish and maintain appropriate safeguards against the identified risks; (c) to the pseudonymisation and encryption of personal data; (d) to the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident; and (f) to ensure that the safeguards are continually updated in response to new risks or deficiencies.?,Data Protection Act
"Where a data controller is using the services of a data processor, what shall the data controller and the data processor enter into a written contract which shall provide that the data processor shall act only on instructions received from the data controller and shall be bound by obligations?",Data Protection Act
"What does a data processor or data processor do to ensure that any person employed by or acting under the authority of the data controller or data processor, complies with the relevant security measures?",Data Protection Act
"Where does the data controller notify the Data Commissioner without delay, within seventy-two hours of becoming aware of such breach?",Data Protection Act
What is the purpose of the notification and communication referred to under subsection (1)?,Data Protection Act
What is the purpose of the communication of a breach to the data subject?,Data Protection Act
What is the legal definition of breach of contract?,Data Protection Act
What is the purpose of the processing of sensitive personal data?,Data Protection Act
What is the purpose of processing sensitive personal data of a data subject?,Data Protection Act
What is the purpose of carrying out the obligations and exercising specific rights of the controller or of the data subject?,Data Protection Act
What is the condition under subsection (1) that the processing—a) is necessary for reasons of public interest in the area of public health; or (b) is carried out by another person who in the circumstances owes a duty of confidentiality under any law.?,Data Protection Act
"What may the Data Commissioner specify other categories of personal data, which may require additional safeguards or restrictions?",Data Protection Act
What does the Data Commissioner need to do before this?,Data Protection Act
(i) for the performance of a contract between the data subject and the data controller or data processor or implementation of pre-contractual measures taken at the data subject's request; (ii) for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another person; (iv) for any matter of public interest;?,Data Protection Act
What is the purpose of the data controller or data processor to protect legitimate interests pursued by the data controller or data processor?,Data Protection Act
What is the purpose of the Data Commissioner's request for a person who transfers data to another country to demonstrate the effectiveness of the security safeguards or the existence of compelling legitimate interests?,Data Protection Act
"What is the name of the country where the Cabinet Secretary may prescribe, based on grounds of strategic interests of the state or protection of revenue, certain nature of processing that shall only be effected through a server or a data centre located in Kenya?",Data Protection Act
What is the purpose of the processing of personal data?,Data Protection Act
"What is the purpose of the Data Commissioner to prepare a code of practice containing practical guidance in relation to the processing of personal data for purposes of Journalism, Literature and Art?",Data Protection Act
The Data Commissioner shall prepare a code of practice containing practical guidance in relation to the processing of personal data?,Data Protection Act
What does the Data Commissioner do?,Data Protection Act
What does the Data Commissioner have to do to ensure compliance with certain provisions of this Act?,Data Protection Act
What is the purpose of the Data Commissioner's data sharing code?,Data Protection Act
What is the purpose of a complaint lodged under subsection (1)?,Data Protection Act
What is the Data Commissioner's job?,Data Protection Act
"What is the name of the person who, without reasonable excuse, fails or refuses to comply with a notice, or who furnishes to the Data Commissioner any information which the person knows to be false or misleading, commits an offence?",Data Protection Act
"Where is the Data Commissioner satisfied that a person has failed, or is failing, to comply with any provision of this Act, the Data Commissioner may serve an enforcement notice on that person requiring that person to take such steps and within such period as may be specified in the notice.?",Data Protection Act
"What is a person who, without reasonable excuse, fails to comply with an enforcement notice commits an offence and is liable on conviction to a fine not exceeding five million shillings or imprisonment for a term not exceeding two years, or to both?",Data Protection Act
What is the purpose of collecting information or for any investigation under this Act?,Data Protection Act
What does the Data Commissioner do upon obtaining a warrant from a Court?,Data Protection Act
What does the Data Commissioner do in relation to the exercise of power conferred by section 9?,Data Protection Act
What does the Data Commissioner have to do to determine the amount of the penalty?,Data Protection Act
"The data controller or data processor has complied with previous enforcement notices or penalty notices; i) to the extent to which the data controller or data processor has complied with previous enforcement notices or penalty notices; j) to the extent to which the data controller or data processor has complied with previous enforcement notices or penalty notices; k) to any other aggravating or mitigating factor applicable to the case, including financial benefits gained, or losses avoided, as a result of the failure?",Data Protection Act
"What is a factor applicable to the case, including financial benefits gained, or losses avoided, as a result of the failure (whether directly or indirectly); l) to whether the penalty would be effective, proportionate and dissuasive?",Data Protection Act
What is the maximum amount of the penalty that may be imposed by the Data Commissioner in a penalty notice?,Data Protection Act
"What is the name of a person whose actions are taken by the Data Commissioner, including in enforcement and penalty notices, may appeal to the High Court?",Data Protection Act
A person who suffers damage by reason of a contravention of a requirement of this Act is entitled to compensation for that damage from the data controller or the data processor.?,Data Protection Act
"What is the definition of ""damage""?",Data Protection Act
What does the Data Commissioner apply to a court for?,Data Protection Act
What does the Office consist of?,Data Protection Act
"The Data Commissioner shall make provision for all the estimated expenditure of the Office for the financial year concerned and in particular shall provide for— (a) the payment of salaries, allowances and other charges in respect of the staff of the Office; (b) the payment of pensions, gratuities and other charges in respect of retirement benefits which are payable out of the finances of the Office; (c) the acquisition, maintenance, repair and replacement of the equipment and other movable property of the Office; (d) funding of training, research and development of activities of the Office; (e) the creation of such reserve funds to meet future or contingent liabilities or in respect of such other matters as the?",Data Protection Act
What is the purpose of this Act?,Data Protection Act
What is the purpose of auditing the accounts of the Office?,Data Protection Act
What is the purpose of the annual report?,Data Protection Act
What does the Data Commissioner consider to be necessary?,Data Protection Act
What is the purpose of the Regulations made under subsection (1)?,Data Protection Act
What are the principles and standards applicable to the delegated power referred to under this Act?,Data Protection Act
What is ratified by Kenya under Article 2(6) of the Constitution?,Data Protection Act
"What is the purpose of a data controller who, without lawful excuse, discloses personal data in any manner that is incompatible with the purpose for which such data has been collected?",Data Protection Act
What does a person who offers to sell personal data where such personal data has been obtained in breach of subsection (1) commits an offence?,Data Protection Act
"What is a penalty for a person who commits an offence under this Act for which no specific penalty is provided or who otherwise contravenes this Act shall, on conviction, be liable to a fine not exceeding three million shillings or to an imprisonment term not exceeding ten years, or to both?",Data Protection Act
"What is the purpose of the Data Commissioner to issue guidelines or codes of practice for the data controllers, data processors and data protection officers?",Data Protection Act
What is the purpose of the data protection act?,Data Protection Act
