question,act
What is the legal definition of a CAP?,Distress for Rent Act
What may be cited as the Distress for Rent Act?,Distress for Rent Act
"What is the meaning of ""superior landlord""?",Distress for Rent Act
"What is the name of the person having any rent or rent service in arrear and due upon a grant, lease, demise or contract that shall have the same remedy by distress for the recovery of that rent or rent service as is given by the common law of England in a similar case?",Distress for Rent Act
"Where any goods or chattels are distrained for rent reserved and due upon a grant, demise, lease or contract, and the tenant or owner of the goods or chattels so distrained does not, within fourteen days after distress has been made, and notice thereof (stating the cause of the making of the distress) left on the premises charged with the rent distrained for, pay the rent together with the costs of the distress, or replevy them, with sufficient security to be given to the licensed auctioneer according to law, the person distraining may lawfully sell on the premises or remove and sell the goods and chattels so distrained for the best price which can be obtained for them, towards satisfaction of the rent for which they are distrained, and of the charges of the distress, removal and sale, handing over the surplus (if any) to the owner.?",Distress for Rent Act
"What is the charge of the distress, removal and sale, handing over the surplus (if any) to the owner?",Distress for Rent Act
What is the term for the period of fourteen days?,Distress for Rent Act
"What is the term for the period of fourteen days within which the tenant or owner of goods and chattels distrained may replevy them shall be extended to a period of not more than fifteen days if the tenant or owner makes a request in writing in that behalf to the landlord or other person levying the distress, and also gives security for any additional cost that may be occasioned by the extension of time: if the landlord or person levying the distress may, at the written request, or with the written consent, of the tenant or owner, sell the goods and chattels distrained or part of them, at any time before the expiration of the extended period?",Distress for Rent Act
"How many years did Sch., Act No. 5 of 1996, s. 34.]?",Distress for Rent Act
"What may be the reason for the demise, lease or contract, if the demise, lease or contract had not been ended or determined?",Distress for Rent Act
"What is the purpose of the auctioneer to seize and secure any crops loose and not attached to the land or lying and being in any barn or granary, or in any place or building used for the storage of crops or otherwise, upon any part of the land or ground charged with that rent, and may lock up or detain them in the place where they are found, for or in the nature of a distress, until they are replevied, and in default of their being replevied upon security to be given within fourteen days from the seizure thereof the crops be sold for the best price which can be obtained for them:?",Distress for Rent Act
"What is the purpose of the provisions of subsections (2), (3) and (4) of section 4 to apply to crops seized and secured under this section?",Distress for Rent Act
"If any person in any unauthorized manner removes or causes to be removed goods, chattels, stock or crops distrained upon for rent from any place where they or any of them are lawfully stored or detained, who shall be guilty of an offence and liable to pay to the person or persons aggrieved by the removal three times the value of the goods, chattels, stock or crops so removed, in addition to any costs incurred by the person or persons aggrieved in the prosecution of the offender, and the tenant or owner of the goods, chattels, stock or crops or any of them so removed shall be liable to the same penalties as are imposed upon the person removing or causing to be removed the goods, chattels, stock or crops, where they or any of them are afterwards found to have come into his use or possession?",Distress for Rent Act
What is the name of a plant that is found to have come into its use or possession?,Distress for Rent Act
"If the tenant or lessee or person in possession or occupation of any premises in respect of which any rent is reserved, due or made payable, fraudulently or clandestinely removes or carries away, or causes or permits to be removed or carried away, from the premises any goods or chattels liable to be seized for that rent to prevent the landlord or lessor from distraining them for arrears of rent so reserved, due or made payable, the landlord or lessor or any person or persons lawfully empowered by him for that purpose, may, within the space of thirty days following the removal or carrying away of those goods or chattels instruct a licensed auctioneer to take and seize the goods and chattels, wherever they are found, as a distress for the arrears of rent; and may sell or otherwise dispose of them as if the goods and chattels had actually?",Distress for Rent Act
"What are the arrears of rent; and may sell or otherwise dispose of them as if the goods and chattels had actually been distrained by a licensed auctioneer: provided that no licensed auctioneer shall take or seize as a distress any such goods or chattels which are sold bona fide, and for a valuable consideration, before the seizure, to any person or persons not privy to the fraud, notwithstanding anything herein contained to the contrary. [Act No. 5 of 1996, s. 34.]?",Distress for Rent Act
"If a tenant or lessee referred to in section 9 fraudulently removes and conveys away his goods or chattels, or if any person wilfully and knowingly aids or assists a tenant or lessee in fraudulently conveying away or carrying off any part of his goods or chattels, or in concealing them, who shall be liable to pay to the landlord or lessor from whose estate the goods and chattels were fraudulently carried off double the value of the goods so carried off or concealed, and that liability shall be a civil debt recoverable summarily?",Distress for Rent Act
"Where any goods or chattels fraudulently or clandestinely conveyed or carried away by a tenant or a lessee or his servant or agent, or other person or persons aiding or assisting therein are kept in any house, barn, stable, out-house, yard, close or place locked up, fastened or otherwise secured so as to prevent the goods or chattels from being taken and seized as distress for arrears of rent, a licensed auctioneer acting on behalf of the landlord or lessor may, in the day time, break into such place and may take and seize the goods or chattels for the arrears of rent as he might have done by virtue of this Act if those goods or chattels had been put in an open field or place. [Act No. 5 of 1996, s. 34.]?",Distress for Rent Act
What is the legal name of the person who was convicted of rape?,Distress for Rent Act
"(1) A licensed auctioneer acting on behalf of the lessor or landlord, may take and seize, as a distress for arrears of rent, any cattle or stock of any lessee or tenant feeding or depasturing upon any part of the premises demised or held, or upon any unalienated Government land; and he may also take and seize all sorts of crops of whatsoever description which are growing on any part of the premises so demised or held, as a distress for arrears of rent, and cut, gather, make, cure, carry them and lay them up, when ripe, in the barns, or other proper place on the premises so demised or held; and, where there is no barn or proper place on the premises so demised or held, then in any other barn or proper place which the lessor or landlord or a licensed auctioneer hires or otherwise procures for that?",Distress for Rent Act
"What is the name of the place where the goods and chattels so distrained are lodged or deposited shall, within the space of seven days after the lodging or depositing thereof in that place, be given to the lessee or tenant, or left at the demised premises, and if, after any distress for arrears of rent so taken of any crops which are growing, and at any time before they are ripe and cut, cured or?",Distress for Rent Act
"What is the act No. 19 of 1964, Sch., Act No. No.?",Distress for Rent Act
"What is the name of the person who assigns or assigns, notwithstanding anything contained in this section to the contrary. [Act No. 19 of 1964, Sch., Act No. 5 of 1996, s. 34.]?",Distress for Rent Act
What is the purpose of the act of taking distress for any kind or rent?,Distress for Rent Act
What is the purpose of this law?,Distress for Rent Act
"What shall the tenant or his executors or administrators pay to the landlord double the rent or sum which he should otherwise have paid, to be levied, sued for or recovered before the giving of the notice?",Distress for Rent Act
What is the term for a distraint for rent?,Distress for Rent Act
"Where is distress made for any kind of rent justly due, and any irregularity or unlawful act is afterwards done by the party distraining, or by his agents, the distress itself shall not be therefore deemed to be unlawful nor the party making it be deemed a trespasser ab initio, but the party aggrieved by the unlawful act or irregularity may recover full satisfaction for the special damage he has sustained thereby in a suit for that purpose: provided that—i) when the plaintiff recovers in that suit, he shall be paid his full costs of suit and have the same remedies for them as in other cases of costs; (ii) no tenant or lessee shall recover in any suit for any such unlawful act or irregularity, if tender of amends has been made by the party distraining or his agent before the suit is brought.?",Distress for Rent Act
What is the name of the party distraining or his agent before the suit is brought?,Distress for Rent Act
What kind of goods and chattels shall be exempt from distress under the Energy Act?,Distress for Rent Act
"What is the name of a subordinate court, on complaint that goods or chattels exempt under this section from distress for rent have been taken under that distress, may by summary order direct that the goods and chattels so taken, if not sold, be restored; or, if they have been sold, that such sum as the court may determine to be the value thereof shall be paid to the complainant by the person who levied the distress or directed it to be levied.?",Distress for Rent Act
What did the complainant pay to the complainant by the person who levied the distress or directed it to be levied?,Distress for Rent Act
What is the name of the person who makes and levies any distress?,Distress for Rent Act
"If a superior landlord levies, or authorizes to be levied, a distress on any furniture, goods or chattels of— (a) an under-tenant liable to pay by equal instalments not less often than every quarter of a year a rent which would return in any whole year the full annual value of the premises or of such part thereof as is comprised in the under-tenancy; or (b) a lodger; or (c) any other person not being a tenant of the premises or of any part thereof, and not having any beneficial interest in any tenancy of the premises or of any part thereof, for arrears of rent due to the superior landlord by his immediate tenant, the under-tenant, lodger or other person may serve the superior landlord, or the licensed auctioneer or other agent employed by him to levy distress, with a declaration in writing made by the under-tenant, lodger, or other person employed by him to levy distress, with a declaration in writing made by the under-tenant, lodger, or other person employed by him to levy distress, with a declaration in?",Distress for Rent Act
"What is the name of the person employed by him to levy distress, with a declaration in writing made by the under-tenant, lodger or other person, stating that the immediate tenant has no right of property or beneficial interest in the furniture, goods or chattels so distrained or threatened to be distrained upon, and that the furniture, goods or chattels are the property of or in the lawful possession of the under-tenant, lodger or other person, and are not goods or livestock to which this section is expressed not to apply; and also, in the case of an under-tenant or lodger, stating the amount of rent (if any) then due to his immediate landlord, and the times at which future instalments of rent will become due, and the amount thereof, and containing an undertaking to pay to the superior landlord any rent so due or to become due to his immediate landlord, what is the name of the person employed to levy distress, with a declaration in writing made by the under-tenant, lodger or other person, stating that the immediate tenant has no right of property or beneficial interest in the furniture, goods or chattels so distrained or threatened to?",Distress for Rent Act
"What shall be annexed by the under-tenant, lodger or other person, of the furniture, goods and chattels referred to in the declaration?",Distress for Rent Act
"d) to goods belonging to the husband or wife of the tenant whose rent is in arrear, nor to goods comprised in any bill of sale, chattels mortgage, hire purchase agreement or settlement made by the tenant, nor to goods in the possession, order or disposition of the tenant by the consent and permission of the true owner under such circumstances that the tenant is the reputed owner thereof; nor to any livestock to which section 25 applies; (4) The provisions of this section shall not apply—a) to goods belonging to the husband or wife of the tenant whose rent is in arrear, nor to goods comprised in any bill of sale, chattels mortgage, hire purchase agreement or settlement made by the tenant, nor to goods in the possession, order or disposition of the tenant by the consent and permission of the true owner under such circumstances that the tenant is the reputed owner thereof; nor to any livestock to which section 25 applies; b) to goods of a partner of the immediate tenant; c) to goods (not being goods of a lodger) upon premises where any trade or business is carried on in which both the immediate tenant and the under-tenant have an interest; d)?",Distress for Rent Act
"What does the Act No. 5 of 1996, s. 34.]?",Distress for Rent Act
"If a superior landlord, or a licensed auctioneer or other agent employed by him, after being served with the declaration and inventory referred to in section 19, and in the case of an under-tenant or lodger after an undertaking has been given, and the amount of rent (if any) then due has been paid or tendered in accordance with that undertaking, levies or proceeds with a distress on the furniture, goods or chattels of the under-tenant, lodger or other person, the superior landlord, licensed auctioneer or other agent shall be deemed guilty of an illegal distress, and the under-tenant, lodger or other person may apply to a subordinate court of the first or second class for an order for the restoration to him of those goods, and the court shall inquire into the truth of the declaration and inventory, and shall make such order for the recovery of the goods?",Distress for Rent Act
"What is the name of the person who is liable to an action at law at the suit of the under-tenant, lodger or other person, in which action the truth of the declaration and inventory may likewise be inquired into?",Distress for Rent Act
