question,act
What is the name of the legal entity that is a member of the United States House of Representatives?,Employment Act
What is the name of the Act that may be cited as the Employment Act?,Employment Act
What is the term for a person who has not attained the age of eighteen years?,Employment Act
"What does ""employee contribution"" mean?",Employment Act
"What is the term for a person who has entered into a contract of service to employ any individual and includes the agent, foreman, manager or factor of such person, public body, firm, corporation or company?",Employment Act
"What is the name of an industrial undertaking that includes— (a) a mine, quarry and other works for the extraction of any substance from the surface or under the surface of the earth; (b) a factory or a place where raw materials are manufactured, processed or packaged; (c) the construction, reconstruction, maintenance, repair, alteration or demolition of any building, railway, tramway, harbour, dock, pier, canal, inland waterway, road, tunnel, bridge, viaduct, sewer, drain, well, telegraphic or telephone installation, electrical undertaking, gas work, water work or other work of construction, as well as the preparation for or laying of the foundations of any such work or structure; or (d) transport of passengers or goods by road, rail, or inland waterway, including the handling of goods at docks, quays, wharves and warehouses, but excluding?",Employment Act
"What is the term for a person appointed as a labour inspector, a senior Deputy Commissioner of Labour, a Deputy Commissioner of Labour, or a senior Deputy Commissioner of Labour?",Employment Act
"What is the term for a person appointed as the Commissioner of Labour, a Senior Deputy Commissioner of Labour, a Senior Deputy Commissioner of Labour, an Assistant Commissioner of Labour, a Chief Industrial Relations Officer, a Senior Labour Officer, an Industrial Relations Officer or a Labour Officer?",Employment Act
What is the definition of a migrant worker?,Employment Act
"What is the term for a job or career by involuntary means through no fault of an employee, involving termination of employment at the initiative of the employer, where the services of an employee are superfluous and the practices commonly known as abolition of office, job or occupation and loss of employment; ""Registrar"" means the Registrar of Trade Unions; ""remuneration"" means the total value of all payments in money or in kind, made or owing to an employee arising from the employment of that employee; ""strike"" means the cessation of work by employees acting in combination, or a concerted refusal or a refusal under a common understanding of employees to continue to work, for the purpose of compelling their employer or an employers' organization of which their employer is a member, to accede to any demand in respect of a trade dispute;?",Employment Act
What is a form of child labour?,Employment Act
What is the term for a child who has attained the age of sixteen years but has not attained the age of eighteen years?,Employment Act
What is the purpose of this Act to apply to all employees employed by any employer under a contract of service?,Employment Act
What does the Cabinet Secretary have to do to exclude from the application of all or part of this Act categories of employees whose terms and conditions of employment are governed by special arrangements: Provided those arrangements afford protection that is equivalent to or better than that part of the Act from which those categories are being excluded?,Employment Act
"[Act No. 19 of 2015, s. 144, Act No. 20 of 2020 Sch., Act No. 3 of 2024 Sch.]?",Employment Act
"What does the term ""forced or compulsory labour"" mean?",Employment Act
"How does a person who contravenes the provisions of this section commit an offence and shall, on conviction, be liable to a fine not exceeding five hundred thousand shillings or imprisonment for a term not exceeding two years or to both?",Employment Act
"What is the duty of the Cabinet Secretary, labour officers and the Employment and Labour Relations Court to promote equality of opportunity in employment in order to eliminate discrimination in employment?",Employment Act
"What is not discrimination to—a) take affirmative action measurers consistent with the promotion of equality or the elimination of discrimination in the workplace; (b) distinguish, exclude or prefer any person on the basis of an inherent requirement of a job; (c) employ a citizen in accordance with the National employment policy; or (d) restrict access to limited categories of employment where it is necessary in the interest of state security.?",Employment Act
What is the omission of the discriminatory act omission?,Employment Act
"Who is sexually harassed if the employer of that employee or a representative of that employer or a co-worker—(a) directly or indirectly requests that employee for sexual intercourse, sexual contact or any other form of sexual activity that contains an implied or express—(i) promise of preferential treatment in employment; (ii) threat of detrimental treatment in employment; or (iii) threat about the present or future employment status of the employee; (b) uses language whether written or spoken of a sexual nature; (c) uses visual material of a sexual nature; or (d) shows physical behaviour of a sexual nature which directly or indirectly subjects the employee to behaviour that is unwelcome or offensive to that employee and that by its nature has a detrimental effect on that employee's employment, job performance, or job satisfaction.?",Employment Act
What does the policy statement required under subsection (2) contain?,Employment Act
What is the policy statement required under subsection (2)?,Employment Act
What shall a person be employed under a contract of service except in accordance with the provisions of this Act?,Employment Act
What does this Act apply to oral and written contracts?,Employment Act
What is the purpose of a written contract of service?,Employment Act
"Where an employee is illiterate or cannot understand the language in which the contract is written, or the provisions of the contract of service, the employer shall have the contract explained to the employee in a language that employee understands.?",Employment Act
What is the purpose of this section of the Constitution?,Employment Act
What is the name of the entity that issues clearance certificates for purposes of satisfying the requirements under chapter six of the Constitution?,Employment Act
"A written contract of service specified in section 9 shall state the specifics of employment which may, subject to subsection(3) be given in instalments and shall be given not later than two months after the beginning of the employment.?",Employment Act
What is the length of notice that the employee is obliged to give and entitled to receive to terminate his contract of employment?,Employment Act
What is the length of notice which the employee is obliged to give and entitled to receive to terminate his contract of employment?,Employment Act
Section (3)(a)iii) does not apply to an employee of a body or authority if—a) the employee's pension rights depend on the terms of a pension scheme established under any provision contained in or having effect under any Act; and (b) any such provision requires the body or authority to give to a new employee information concerning the employee's pension rights or the determination of questions affecting those rights.?,Employment Act
What is the burden of proving or disproving an alleged term of employment stipulated in the contract?,Employment Act
"If in the case of a statement under section 10 there are no particulars to be entered under subsection (2)(d) or (j) or under any of the other provisions of section 10(2) or (3), that fact shall be stated in the statement. (2) A statement under section 10 may refer the employee for particulars of any of the matters specified in section 10(3)(a)(ii) and (iii) to the provisions of any other document which is reasonably accessible to the employee. (3) A statement under section 10 may refer the employee for particulars of either of the matters specified in section 10(3)(3)(e) to the law or to the provisions of any collective agreement directly affecting the terms and conditions of the employment which is reasonably accessible to the employee. (4) The particulars required by section 10(2) and (3) shall be included in a single document.?",Employment Act
Where is the statement given to a person under section 10 even if his employment ends before the end of the period within which the statement is required to be given?,Employment Act
"Subsection (1) shall not apply to rules, disciplinary decisions, grievances, or procedures relating to health or safety at work.?",Employment Act
"What is a form of grievances, or procedures relating to health or safety at work?",Employment Act
