question,act
What is the legal status of the EVIDENCE ACT CAP. 80 Chapter I PRELIMINARY?,Evidence Act
What Act may be cited as the Evidence Act?,Evidence Act
"What Act shall apply to all judicial proceedings in or before any court other than a Kadhi’s court, but not to proceedings before an arbitrator?",Evidence Act
"What is the meaning of ""advocate"" in the Advocates Act (Cap. 16), and includes any person entitled, pursuant to section 9 of that Act, to act as an advocate, whilst so acting in connection with the duties of his office; ""bank"" means a person or company or other body of persons carrying on, whether on his or their own behalf or as agent for another, any banking business (as defined in section 2 of the Banking Act (Cap. 488), and includes—a) a financial institution within the meaning of section 2 of the Banking Act (Cap. 488); (b) the Kenya Post Office Savings Bank established by the Kenya Post Office Savings Bank Act (Cap. 493B); (c) the Co-operative Bank of Kenya Limited; and (d) for the purposes of subsections 176 and 177, any person?",Evidence Act
Where is the Co-operative Bank of Kenya Limited located?,Evidence Act
What does the Gazette stand for?,Evidence Act
"What is a fact that is proved when, after considering the matters before it, the court either believes it to exist, or considers its existence so probable that a prudent man ought, in the circumstances of the particular case, to act upon the supposition that it exists?",Evidence Act
"[LN 22 of 1965, Act No. 19 of 1985, Sch., Act No. 7 of 1990, Sch., Act No. 9 of 2000, s. 64, Act No. 1 of 2009, s. 36, Act No. 19 of 2023, Sch.]?",Evidence Act
What is a DMISSIBILITY AND RELEVANCE?,Evidence Act
What is the purpose of this Act and of any other law?,Evidence Act
What kind of transaction is a transaction that occurs in the same time and place or at different times and places?,Evidence Act
What does the law entail?,Evidence Act
"What does the word ""conduct"" in this section do not include statements, unless those statements accompany and explain acts other than statements?",Evidence Act
"What is the name of the law that states that ""conduct"" in this section does not include statements, unless those statements accompany and explain acts other than statements?",Evidence Act
"What is the purpose of a law that requires a person to explain or introduce a fact in issue or relevant fact, or which support or rebut an inference suggested by such a fact, or which establish the identity of any thing or person whose identity is relevant, or fix the time or place at which any fact in issue or relevant fact happened, or which show the relation of parties by whom any such fact was transacted, are relevant in so far as they are necessary for that purpose?",Evidence Act
"What is a reasonable ground to believe that two or more persons have conspired together to commit an offence or an actionable wrong, anything said, done or written by any one of such persons in reference to their common intention, after the time when such intention was first entertained by any one of them, is a relevant fact as against each of the persons believed to be so conspiring, as well for the purpose of proving the existence of the conspiracy as for the purpose of showing that any such person was a party to it?",Evidence Act
What is a fact that is inconsistent with any fact in issue or relevant fact?,Evidence Act
What kind of damages are claimed in suits in which damages are claimed?,Evidence Act
"What is the legal term for a transaction by which the right or custom in question was created, claimed, modified, recognized, asserted or denied, or which was inconsistent with its existence?",Evidence Act
What is the purpose of the previous commission by the accused of an offence in relation to the trial of a person accused of an offence?,Evidence Act
What is the name of the person who was convicted of a crime?,Evidence Act
What kind of act did the person do with a particular knowledge or intention?,Evidence Act
What is a legal term for a particular act?,Evidence Act
What is an admission?,Evidence Act
"What kind of statements made by parties to suits, suing or sued in a representative character, are admissions?",Evidence Act
What is a legal term for a person making statements?,Evidence Act
"What is an admission to a suit made by persons whose position or liability it is necessary to prove as against any party to a suit, and if such statements would be admissible as against such persons in relation to such position or liability in a suit brought by or against them, and if they are made whilst the person making them occupies such position or is subject to such liability?",Evidence Act
"20A. Proof of written statement by consent. (1) If the person who makes a statement cannot read it, the statement shall be read to him by an officer of or above the rank of a Chief Inspector or a magistrate before he signs it, and an endorsement shall be made thereof by the person who so read the statement to the effect that it was so read. (2) A copy of the statement, together with a copy of any document referred to in the statement as an exhibit, or with such information as may be necessary in order to enable the party on whom it is served to inspect such document or a copy thereof, shall, before the date on which the document is to?",Evidence Act
"Are served to inspect such document or a copy thereof, shall, before the date on which the document is to be tendered in evidence, be served on each of the other parties to the proceedings, and any such party may, at least two days before the commencement of the proceedings, object to the statement being tendered in evidence under this section. (3) If a party objects under subsection (2) that the statement in question be tendered in evidence, the statement shall not, but subject to the provisions of subsection (4), be admissible as evidence under this section. (4) If a party does not object under subsection (2) or if the parties agree before or during the proceedings in question that the statement may be so tendered in evidence, the statement may, upon the mere production thereof at such proceedings, be admitted as evidence in the proceedings.?",Evidence Act
What shall the parties to criminal proceedings agree that any written statement referred to in subsections (1) which has not been served in terms of?,Evidence Act
What is the purpose of the summons to be effected through the diplomatic channel?,Evidence Act
"What is the name of the person who makes a statement which is admitted as evidence under this section and who in such statement willfully and falsely states anything which, if sworn, would have amounted to the offence of perjury, shall be deemed to have committed the offence of perjury and shall, upon conviction, be liable to the punishment prescribed therefor?",Evidence Act
What is the purpose of the admission of a person who makes it or his representative in interest?,Evidence Act
What is a legal term for a person who is convicted of a crime?,Evidence Act
What may be the reason for the claim that he is entitled to give secondary evidence of the contents of such document under the provisions of this Act or if the genuineness of a document produced is in question?,Evidence Act
What does subsection (1) of this section do to exempt any advocate from giving evidence of any matter of which he may be compelled to give evidence under section 134 of this Act?,Evidence Act
What may be used as estoppels under the provisions hereinafter contained?,Evidence Act
"A. Confessions generally inadmissible. (1) A confession or any admission of a fact tending to the proof of guilt made by an accused person is not admissible and shall not be proved as against such person unless it is made in court before a judge, a magistrate or before a police officer (other than the investigating officer), being an officer not below the rank of Inspector of Police, and a third party of the person’s choice.?",Evidence Act
What is the name of the body that makes rules governing the making of a confession in all instances where the confession is not made in court?,Evidence Act
"What does a confession or any admission of a fact tend to the proof of guilt made by an accused person is notadmissible in a criminal proceeding if the making of the confession or admission appears to the court to have been caused by any inducement, threat or promise having reference to the charge against the accused person, proceeding from a person in authority and sufficient, in the opinion of the court, to give the accused person grounds which would appear to him reasonable for supposing that by making it he would gain any advantage or avoid any evil of a temporal nature in reference to the proceedings against him?",Evidence Act
"If such a confession as is referred to in section 26 of this Act is made after the impression caused by any such inducement, threat or promise has, in the opinion of the court, been fully removed, what is admissible?",Evidence Act
What is the name of an administrative officer holding first or second class magisterial powers and acting in the capacity of a police officer?,Evidence Act
"What is the term for a confession made by one of such persons affecting himself and some other of such persons, and a confession made by one of such persons affecting himself and some other of such persons, and a confession made by one of such persons affecting himself and some other of such persons is proved, the court may take the confession into consideration as against such other person as well as against the person who made the confession?",Evidence Act
What may be the cause of death in cases in which the cause of that person’s death comes into question?,Evidence Act
"What is the name of the person who made the statement in the course of business when the statement was made by such person in the ordinary course of business, and in particular when it consists of an entry or memorandum made by him in books or records kept in the ordinary course of business or in the discharge of professional duty; or of an acknowledgement written or signed by him of the receipt of money, goods, securities or property of any kind; or of a document used in commerce, written or signed by him, or of the date of a letter or other document usually dated, written or signed by him;?",Evidence Act
What is the term for a person who has a relationship with a person who has a relationship with a person who has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship with a person that has a relationship?,Evidence Act
What is a custom when the statement is contained in any deed or other document which relates to any such transaction as?,Evidence Act
