question,act
What is the minimum age of the person who was convicted of rape?,Excise Duty Act
What Act may be cited as the Excise Duty Act?,Excise Duty Act
"What is the meaning of ""approved form"" in section 2 of the Compounding of Potable Spirits?",Excise Duty Act
"What is the meaning of ""excise duty""?",Excise Duty Act
What is the meaning of “exempt goods”?,Excise Duty Act
"What is the meaning of “exporter” in relation to goods, means the person who owns the goods, or any other person who is, for the time being, in possession of or beneficially interested in the goods at the time of importation; “international traffic” means any operation of the aircraft or vessel, except as between two places in Kenya; “international organization” shall have the meaning assigned to it under the Tax Procedures Act (Cap. 469B); “licence”— (a) in the case of excisable services, means the certificate of registration; (b) in the case of excisable goods, means the licence issued under section 17; or (c) in the case of any activity under section 15(1)(e), means the licence required thereunder; “licensed distiller” means a person licensed under section 17 to manufacture excisable goods; “licensed person” means a person licensed or registered under?",Excise Duty Act
What is the meaning of a person licensed under section 17 to manufacture excisable goods?,Excise Duty Act
What is the meaning of “spirits”?,Excise Duty Act
What is the meaning of “spirits”?,Excise Duty Act
What is the meaning of the value added tax imposed under the Value Added Tax Act (Cap. 469B)?,Excise Duty Act
What is the name of the legal entity that is a member of the United States House of Representatives?,Excise Duty Act
What is an objective approximation of the price of the goods or services according to the Fourth Schedule of the East African Community Customs Management Act?,Excise Duty Act
"What is the date on which payment for the supply of the services is received, in whole or part?",Excise Duty Act
"What is a customs clearance for excisable goods removed to a licensed warehouse prior to importation, at the time of final clearance from the warehouse for home use, at the time of excisable goods removed from an export processing zone or special economic zone for home use, at the time of removal for home use, or (d) in any other case, at the time the excisable goods are brought into Kenya?",Excise Duty Act
"The excise duty shall be charged at the rate specified in the First Schedule for the excisable goods or services in force at the time the liability arises for excise duty as determined under section 6. (3) The excise duty payable—a) under subsection (1)(a), shall be payable by the licensed manufacturer; (b) under subsection (1)(b), shall be payable by the licensed person making the supply: (c) under subsection (1)(c), shall be payable by the importer of the excisable goods; or (d) under subsection (1)(d)?",Excise Duty Act
"What is the name of the non-resident person offering the service. [Act No. 12 of 2024, s. 24]?",Excise Duty Act
What is the duty of a licensed manufacturer for excise duty on excisable goods manufactured in Kenya?,Excise Duty Act
What shall an importer do if the importer does not pay the excise duty referred to in subsection (4) in accordance with section 36?,Excise Duty Act
"What is the purpose of removing excisable goods by the manufacturer from the manufacturer's factory including when loading or unloading the goods; or what is the purpose of removing excisable goods by the manufacturer from the manufacturer's factory, including when loading or unloading the goods?",Excise Duty Act
What is the purpose of the Gazette notice issued under subsection (2) of this section?,Excise Duty Act
What is the purpose of the exemption granted under subsection (1)(f)(i) and (ii)?,Excise Duty Act
"What shall not apply if the licensed manufacturer has been compensated for the loss of the excisable goods and the compensation includes the excise duty payable on the goods, as a consequence of any of the following— (a) an insurance policy, indemnity, or other agreement; (b) a settlement; or (c) a judicial decision.]?",Excise Duty Act
"If the National Assembly passes a resolution disapproving of the variation within twenty days from the first day on which the National Assembly next sits after the variation is laid before the National Assembly, what is the Order?",Excise Duty Act
What is the first day on which the National Assembly next sits after the variation is laid before the National Assembly?,Excise Duty Act
