question,act
What is the name of the Act of Parliament for compensating the families of persons killed in accidents?,Fatal Accidents Act
What Act may be cited as the Fatal Accidents Act?,Fatal Accidents Act
"In which section of the Act does the phrase ""child"" mean a person who has been adopted under the provisions of any law for the time being in force in the country in which it is being in force?",Fatal Accidents Act
Who has been adopted under the provisions of any law for the time being in force in the country in which the adoption took place?,Fatal Accidents Act
"What is a felony if the death of a person is caused by a wrongful act, neglect or default, and the act, neglect or default is such as would (if death had not ensued) have entitled the person injured to maintain an action and recover damages in respect thereof, the person who would have been liable if death had not ensued shall be liable to an action for damages notwithstanding the death of the person injured and although the death was caused under such circumstances as amount in law to felony .?",Fatal Accidents Act
"What is the purpose of the court to award such damages as it may think proportioned to the injury resulting from the death to persons for whom and for whose benefit the action is brought; and the amount so recovered, after deducting the costs not recovered from the defendant, shall be divided amongst those persons in such shares as the court by its judgment shall find and direct.?",Fatal Accidents Act
What shall the court not take into account in assessing damages under the provisions of subsection (1)?,Fatal Accidents Act
"What shall the defendant pay to all persons entitled under that section to damages for his wrongful act, neglect or default, without specifying the shares into which it is to be divided by the court; and if that sum is not accepted, and an issue is taken by the plaintiff as to its sufficiency, and the court thinks it sufficient, the defendant shall be entitled to judgment on that issue.?",Fatal Accidents Act
What may be awarded in respect of the funeral expenses of the deceased person if those expenses have been incurred by the parties for whom and for whom the action is brought?,Fatal Accidents Act
"What is the purpose of this Act in determining whether there is no executor or administrator of the person deceased, or if no action is brought by the executor or administrator within six months after the death of the deceased person, then and in every such case an action may be brought by and in the name or names of all or any of the persons for whose benefit the action would have been brought if it had been brought by and in the name of the executor or administrator, and every action so brought shall be for the benefit of the same person or persons as if it were brought by and in the name of the executor or administrator, and every action so brought shall be for the benefit of the same person or persons as if it were brought by and in the name of the executor or administrator, and every action so brought shall be for the benefit of the same person or persons as if it were brought by and in the name of the executor or administrator, and every action so brought shall be for the benefit of the same person or persons as if it were brought by and in the name of the executor or administrator, and every action so brought shall be for the benefit of the same person or persons as if it?",Fatal Accidents Act
What is required in every action brought by virtue of the provisions of this Act?,Fatal Accidents Act
"Where, by virtue of the provisions of this Act, a cause of action would have subsisted against any person if that person had not died before or at the same time as the damage was suffered, there shall be deemed, for what reason?",Fatal Accidents Act
What is the name of the person who had not died before or at the same time as the damage was suffered?,Fatal Accidents Act
