question,act
"What is the Act of Parliament to make provision for the charge, assessment and collection of income tax; for the ascertainment of the income to be charged; for the administrative and general provisions relating thereto; and for matters incidental to and connected with the foregoing?",Income Tax Act
"What Act may be cited as the Income Tax Act, and shall, subject to the Sixth Schedule, come into operation on 1st January, 1974, and apply to assessments for the year of income 1974 and subsequent years of income?",Income Tax Act
What is the term for a person who makes up the accounts of his business?,Income Tax Act
"What is the term for a person who prepares or advises for remuneration, or who employs one or more persons to prepare for remuneration, any return, statement or other document, with respect to a tax under this Act, and for the purposes of this Act, the preparation of a substantial portion of a return, statement or other document shall be deemed to be the preparation of the return, statement or other document; and for the purposes of this Act, the preparation of a substantial portion of a return, statement or other document shall be deemed to be the preparation of the return, statement or other document; ""bank"" means a bank or financial institution licensed under the Banking Act (Cap. 488); ""bearer"" means the person in possession of a bearer instrument; ""bearer instrument"" includes a certificate of deposit, bond, note or any similar instrument payable to the bearer; ""building society"" means a building society registered under the?",Income Tax Act
"What is the meaning of ""collective investment scheme""?",Income Tax Act
What is the name of a company that is incorporated or registered under any law in force in Kenya or elsewhere?,Income Tax Act
"What is a contract of apprenticeship or indentured learnership, under which the employer has the power of selection and dismissal of the employee, pays his wages or salary and exercises general or specific control over the work done by him; and for the purpose of this definition an officer in the public service shall be deemed to be employed under a contract of service; ""contractual payments"" deleted by Act No. 6 of 2001, s. 42; ""control"", in relation to a person, means– (a) that the person, directly or indirectly, holds at least twenty per cent of the voting rights in a company; (b) a loan advanced by the person to another person constitutes at least seventy per cent of the book value of the total assets of the other person excluding a loan from a financial institution that is not associated with the person advancing the loan; (c) a?",Income Tax Act
"Who is the owner of or has the exclusive rights over the know-how, patent, copyright, trade mark, licence, franchise or any other business or commercial right of a similar nature, on which another person is wholly dependent for the manufacture or processing of goods or articles or business carried on by the other person?",Income Tax Act
What is a corporation rate of tax specified in paragraph 2 of Head B of the Third Schedule?,Income Tax Act
"What does ""corporation rate"" mean in paragraph 2 of Head B of the Third Schedule?",Income Tax Act
