question,act
"What is the purpose of the Act of Parliament to give effect to Article 68 of the Constitution, to revise, consolidate and rationalize land laws; to provide for the sustainable administration and management of land and land based resources, and for connected purposes?",Land Act
What Act may be cited as the Land Act?,Land Act
"What is the meaning of ""alienation of land""?",Land Act
What is the meaning of a subcharge and the instrument creating a charge?,Land Act
"What is a customary charge that is a written and witnessed undertaking, the clear intention of which is to charge the chargor’s land with the repayment of money or money’s worth obtained from the chargee; and (b) a customary charge that is a type of informal charge whose undertaking has been observed by a group of people over an indefinite period of time and considered as legal and binding to such people?",Land Act
What is the meaning of “compulsory acquisition”?,Land Act
What does “dwelling house” mean?,Land Act
"What is the definition of “freehold” in relation to compensation for compulsorily acquired land or creation of wayleaves, easements and public rights of way?",Land Act
"What does instrument mean in relation to compensation for compulsorily acquired land or creation of wayleaves, easements and public rights of way?",Land Act
"What is the meaning of ""just compensation"" in relation to compulsorily acquired land or creation of wayleaves, easements and public rights?",Land Act
What is the term for a person to whom a lease is granted and includes a person who has accepted a transfer or assignment of a lease?,Land Act
"Who is granted a lease and includes a person who has accepted a transfer or assignment of a lease; “lessor” means a person by whom a lease is granted and includes a person who has accepted the transfer or assignment of the reversion of a lease; “licence” means a permission given by the Commission in respect of public land or proprietor in respect of private or community land or a lease which allows the licensee to do some act in relation to the land or the land comprised in the lease which would otherwise be a trespass, but does not include an easement or a profit; “management body” means a statutory body, public corporation or a public agency that is authorized by the Commission to manage reserved land under section 16; “marriage” means a civil, customary or religious marriage; “matrimonial home” means any property that is owned or leased by whom?",Land Act
What is the meaning of Article 64 of the Constitution?,Land Act
What is the meaning of “public land”?,Land Act
What is the meaning of “register of public land” in the law relating to land registration for the recording of rights and interests in and dispositions of public land?,Land Act
What is the meaning of a substantial transaction?,Land Act
"What is a form of concurrent ownership of land in which two or more persons possess the land simultaneously where each person holds an individual, undivided interest in the property and each party has the right to alienate, or transfer?",Land Act
"What is the term for a person who receives the land, lease or charge passed by an act of transfer?",Land Act
"What is the term for a valuer registered and licensed to practice as a valuer in accordance with the Valuers Act (Cap. 532); “unexhausted improvement” means anything or any quality permanently attached to the land directly resulting from the expenditure of capital or labour by an owner or any person acting on the owner’s behalf and increasing the productive capacity, the utility, the sustainability of its environmental quality and includes trees, standing crops and growing produce whether of an agricultural or horticultural nature?",Land Act
"What Act shall apply to all land declared as public land under Article 62 of the Constitution, public land under Article 64 of the Constitution, and any other written law relating to community land under Article 63 of the Constitution and any other written law relating to community land?",Land Act
"What is the guiding values and principles of land management and administration in this section bind all State organs, State officers, public officers and all persons whenever any of them—a) enacts, applies or interprets any provisions of this Act; and (b) makes or implements public policy decisions.?",Land Act
What is the legal definition of land and property in land?,Land Act
"What are the following forms of land tenure—a) freehold; (b) leasehold; (c) such forms of partial interest as may be defined under this Act and other law, including but not limited to easements; and (d) customary land rights, where consistent with the Constitution?",Land Act
What shall the Cabinet Secretary do in relation to the management and administration of land?,Land Act
What is the legal basis of this Act?,Land Act
What is a legal term for a land acquisition?,Land Act
What is the name of the legal entity that is a member of the United States House of Representatives?,Land Act
What is the purpose of the Commission to establish and maintain a register containing the particulars of all public land converted to private land by allocation?,Land Act
What are the names and addresses of all persons whose land has converted to public through compulsory acquisition or reversion of leasehold?,Land Act
What shall be the subject of any substantial transaction involving the conversion of public land to private land in accordance with the law relating to Community land enacted pursuant to Article 63(5) of the Constitution?,Land Act
"The Commission may make rules for the better carrying out of the provisions of this section, and, without prejudice to the generality of the foregoing, the rules may provide for the following— (a) prescribing substantial transactions requiring approval of the National Assembly or the County Assembly as the case may be; (b) prescribing anything required to be prescribed under this section; (c) regulating and controlling the conversion of land from one category to another; (d) prescribing the factors to be applied or taken into account in determining land that is to be converted.?",Land Act
"What is the purpose of the Act No. 28 of 2016, s. 45.]?",Land Act
"The Commission shall prescribe guidelines for the management of public land by all public agencies, statutory bodies and state corporations in actual occupation or use of public land?",Land Act
"What shall the Commission do to protect public land that has endangered or endemic species of flora and fauna, critical habitats or protected areas?",Land Act
What is the purpose of the Commission to ensure that any public land that has been identified for allocation does not fall?,Land Act
"The Commission shall ensure that any public land that has been identified for allocation does not fall within any of the following categories: (a) public land that is subject to erosion, floods, earth slips or water logging; (b) public land that falls within forest and wild life reserves, mangroves, and wetlands or fall within the buffer zones of such reserves or within environmentally sensitive areas; (c) public land that is along watersheds, river and stream catchments, public water reservoirs, lakes, beaches, fish landing areas riparian and the territorial sea as may be prescribed; and (d) public land that has been reserved for security, education, research and other strategic public uses as may be prescribed; and (e) natural, cultural, and historical features of exceptional national value falling within public lands; (f) reserved land; or (g) any other land categorized as such, by the Commission, by an order published in?",Land Act
What type of land does the Commission set aside for investment purposes?,Land Act
"Where is the land allocated under subsection (8) not developed in accordance with the terms and conditions stipulated in the lease, that land shall automatically revert back to the national or county government, as the case may be and the Commission shall include in its annual report the status of implementation of this subsection?",Land Act
"What is the purpose of the Regulations prescribing the criteria for allocation of public land and without prejudice to the generality of the foregoing, such regulations may prescribe?",Land Act
What is the term for a person who is not a Kenyan citizen?,Land Act
"What is the meaning of the Act and the interest in land shall include transfer, lease, licence, charge, exchange, partition or other disposal of or dealing with any controlled land?",Land Act
What shall the Cabinet Secretary seek the approval of the relevant authorities?,Land Act
What may be the reason for granting the lease?,Land Act
What are the provisions of this section and without prejudice to the generality of the foregoing?,Land Act
"The Commission shall, before allocating any public land under this Act, issue, publish or send a notice of action, to the public and interested parties, at least thirty days before, offering for allocation, a tract or tracts of public land?",Land Act
"What shall be sent to other known interested parties including, but not limited to, adjoining landowners, persons in actual occupation of the land including— (a) marginalised communities and groups living in the general vicinity of the public lands being proposed for allocation; and (b) boards of cities and municipalities and town administrators, created under sections 12, 13 and 31 of the Urban Areas and Cities Act (Cap. 275), in the geographic vicinity within which the public lands proposed for allocation are located?",Land Act
Gazette (4) shall be published in the Gazette and at least once a week for a period of three weeks and thereafter shall be published in a newspaper of general circulation in the general vicinity of the public land being proposed to be offered for allocation.?,Land Act
What does the Commission need to do to ensure that the notification procedures outlined in this subsection are not properly conducted?,Land Act
What is the name of the land that has been reserved by the Commission?,Land Act
What is the name of the land based natural resources?,Land Act
"The Commission may, by order in the Gazette—a) vest the care, control and management of any reserved land with a statutory body, public corporation or a public agency for the same purpose as that for which the relevant public land is reserved under section 15 and for purposes ancillary or beneficial to that purpose; and (b) subject that care, control and management to such conditions as the Commission specifies.?",Land Act
"Where is the land reserved under this Act for the purpose of recreation leased or subleased under a power conferred under subsection (3), the lessee or sub-lessee shall not restrict public access to the area leased unless the terms of the management order or the lease or sublease provide otherwise?",Land Act
"What does a management body not perform if another enactment expressly prevents the body from performing that function or exercising that power, or expressly authorises another person to perform that function or exercise that power?",Land Act
"A management body shall, on its own motion or at the request of the Commission, submit to the Commission for approval a plan for the development, management and use of the reserved public land vested in the management body. (2) Before submitting a plan to the Commission under subsection (1), a management body shall—a) consider any conservation, environmental or heritage issues relevant to the development, management or use of the public land in its managed reserve for the purpose of that managed reserve; and (b) incorporate in the plan a statement that it has considered those issues in drawing up the plan; (c) submit an environmental impact assessment plan pursuant to existing law on environment; and (d) comply with the values and principles of the Constitution.?",Land Act
"What is the purpose of the Commission to submit a plan to the Commission under subsection (1) and the Commission approves that plan and notifies the management body of that fact, the management body may develop, manage and use the public land concerned in accordance with the plan as approved or subsequently varied as the case may be?",Land Act
"What does the Commission, by order in the Gazette, revoke if the Commission considers that it is in the public interest to revoke a management order?",Land Act
What are the rules and regulations for the sustainable conservation of land based natural resources?,Land Act
What is a legal term for public land?,Land Act
What is the purpose of the Commission to grant a person a licence to use unalienated public land for a period not exceeding five years subject to planning principles as it may prescribe?,Land Act
What type of property does the occupant of any public land under a licence granted under section 20 have?,Land Act
"The Commission may declare a licence granted under section 20 to be forfeited if—a) the fees payable under the licence is unpaid for one month after it became due; (b) any tax or taxes imposed upon the land, or upon a structure or building erected on the land, or upon the licencee, remains unpaid for two months after becoming due; or (c) if the occupant of the land fails to abide with the conditions of the licence.?",Land Act
"In every lease relating to public land, unless the lease expressly provides otherwise, there is an implied covenant by the lessor—a) that the lessor has full power to the land or lease; and (b) that the lessee, paying the rent and fulfilling the conditions of the lease, shall enjoy quiet possession of the premises without interruption by the lessor or any person claiming under the lessor, except so far as the laws for the time being in force may permit.?",Land Act
"In every lease or licence for public land under this Act, there shall be implied covenants and conditions by the lessee or licencee that the lessee or licencee shall—(a) pay rent and royalties thereby reserved at the time and in the manner thereof provided; and (b) pay all taxes, rates, charges, duties, assessments or outgoings of whatever description that may be imposed, charged or assessed upon the land or the buildings thereon, or upon the lessor or grantor or lessee or licensee in respect thereof. [Act No. 28 of 2016, s. 52.]?",Land Act
"What shall the Commission do if the Commission elects to purchase any buildings, as contemplated in subsection (1)(b), any disagreement as to the purchase price of the buildings, shall be resolved by reference to an independent professional valuer who shall be?",Land Act
"What is the name of an independent professional valuer who shall be appointed by the Commission through an open, transparent and competitive process as per the public procurement law?",Land Act
"What is a covenant or condition, if expressed or implied, in a grant, lease or licence under this Act which is binding on a grantee, lessee or licensee, shall, unless otherwise expressly provided in the grant, lease or licence, be binding upon all persons claiming an interest in the land that is the subject of the grant, lease or licence, and whose title is derived through or under the grantee, lessee or licensee?",Land Act
What is a child capable of holding title to land through a trustee?,Land Act
"In what year shall the rent, royalties and payments reserved under any lease or licence be a debt owed to the national or county government, as the case may be, and shall be paid by the lessee or licensee at the office of the respective government or at such place as such government may prescribe?",Land Act
What may be the reason for the payment of outstanding interest?,Land Act
What is the law relating to public financial management?,Land Act
What is the law relating to public financial management?,Land Act
"What may be a violation of the right of the respective government to recover a debt without prejudice to the right of the respective government to recover a debt in any other way, such governnient may sue in Court for any rent, principal, installment, royalty or other payment, payable under any agreement, lease or license under this Act, that is in arrears, or for any penalty payable under section 29. [Act No. 18 of 2018, Sch.]?",Land Act
"What is the purpose of the action commenced under subsection (1)(b) on proof of the facts, the Court shall declare the lease forfeited, subject to relief upon such terms as may appear just. (3) If the Court has declared a lease to be forfeited under subsection (2), the national government or county government, what is the purpose of the action commenced under subsection (1)(b) on proof of the facts, the Court shall declare the lease forfeited, subject to relief upon such terms as may appear just.?",Land Act
"What is the name of the court that declared a lease to be forfeited under subsection (2), the national government or county government, as the case might re-enter upon the land?",Land Act
"What is the purpose of the application under subsection (1), together with a statement specifying the rent in arrears or the condition which has not been complied with or of which a breach has been committed, the Court shall cause to be served upon the licensee, a copy of the statement together with a notice of the date, not being less than fourteen days from the date of the notice, when the application will be considered?",Land Act
"What is the date of the hearing of the application or to which the hearing is adjourned it is proved to the satisfaction of the court that rent is in arrears or that the licensee has failed to comply with or has committed a breach of any of the conditions of the license, the Court shall, subject to such relief against forfeiture for non-payment of rent as may seem just, declare the license forfeited.?",Land Act
What does a forfeiture mean?,Land Act
"If the national government or county government as the case might propose to resurvey the boundaries of any land held under leasehold tenure, or to subdivide land that is the subject of any interests or cautions, the national government or county government as the case maybe may, with reasonable notice to the holders of the interests, or of the relevant cautioners, by order incorporating a survey plan or revised survey plan authenticated by the office or authority responsible for survey, make such adjustments to those boundaries as— (a) the national government or county government as the case maybe considers necessary; and (b) according to any proposed plan of subdivision approved under the law relating to physical planning, without any obligation to make or pay compensation.?",Land Act
What does the national government or county government as the case maybe do to ensure that an adjustment made under subsection (3) is made in conformity with sound planning and land management principles so as to cause as little detriment?,Land Act
