question,act
"ACT CAP. 160 An ACT of Parliament to amend, define and consolidate the law relating to intestate and testamentary succession and the administration of estates of deceased persons; and for purposes connected therewith and incidental thereto?",Law of Succession Act
What Act may be cited as the Law of Succession Act?,Law of Succession Act
"a Muslim, what is the purpose of the provision of this Act to the estates of deceased persons dying after the commencement of this Act and to the administration of estates of those persons?",Law of Succession Act
What is the name of the person who at the time of this death is a Muslim to the intent that in lieu of such provisions the devolution of the estate of any such person shall be governed by Muslim law?,Law of Succession Act
"What does ""administrator"" mean?",Law of Succession Act
"What is the term for a testamentary instrument made in relation to a will, explaining, altering or adding to its dispositions or appointments, and duly made and executed as required by the provisions of this Act for the making and execution of a will?",Law of Succession Act
"What is the term for a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person to whom the execution of the last will of a deceased person is, by the testator's appointment, confided; or a person?",Law of Succession Act
Who is not a beneficiary under a will?,Law of Succession Act
What is the term for a person who is not a beneficiary under a will or the spouse of any such beneficiary?,Law of Succession Act
"What is the definition of ""net intestate estate""?",Law of Succession Act
What is the term for a person who is not the executor of a will?,Law of Succession Act
"What does ""special power of appointment"" mean?",Law of Succession Act
"What is the name of a corporation that has a subscribed capital of not less than five hundred thousand shillings, or any body corporate which has a subscribed capital of not less than five hundred thousand shillings, or any body corporate which has a subscribed capital of not less than five hundred thousand shillings, or any body corporate which has a subscribed capital of not less than five hundred thousand shillings, or any body corporate which has a subscribed capital of not less than five hundred thousand shillings and which is for the time being empowered (by or under any written law, its charter, memorandum of association, deed of settlement or other instrument constituting it or defining its powers), to undertake trusts, but for so long a time only as that body corporate shall not, by any prospectus, circular, advertisement or other document issued by it or on its behalf, state or hold out that any liability attaches to the Public Trustee or to the Consolidated Fund in respect of any act or omission of that body corporate when acting as an executor or administrator:?",Law of Succession Act
"What is the meaning of ""will""?",Law of Succession Act
"What is a child born to a female person out of wedlock, and a child as defined by subsection (2) as the child of a male person, shall have relationship to other persons through her or him as though the child had been born to her or him in wedlock.?",Law of Succession Act
"Where is the date of birth of any person unknown or cannot be ascertained, that person shall be treated as being of full age for the purposes of this Act if he has apparently attained the age of eighteen years, and shall not otherwise be so treated?",Law of Succession Act
What is the name of the person who is a member of the House of Representatives of the House of Representatives?,Law of Succession Act
What is the name of a person who immediately before his death was ordinarily resident in Kenya?,Law of Succession Act
What is the legal term for a person who is convicted of a crime?,Law of Succession Act
"What is the burden of proof that a testator was, at the time he made any will, in such a state of mind, whether arising from mental or physical illness, drunkenness, or from any other cause, as not to know what he is doing?",Law of Succession Act
"(4) What is the burden of proof that a testator was, at the time he made any will, not of sound mind, shall be upon the person who so alleges. [Act No. 8 of 1976, s. 3]?",Law of Succession Act
What does a person need to do before appointing an executor or executor?,Law of Succession Act
"What is void of a will or any part of a will, the making of which has been caused by fraud or coercion, or by such importunity as takes away the free agency of the testator, or has been induced by mistake?",Law of Succession Act
What type of will may be made either orally or in writing?,Law of Succession Act
What is the purpose of the oral will made by a member of the armed forces or merchant marine during a period of active service?,Law of Succession Act
What is the legal basis of the law?,Law of Succession Act
What is the name of the person who made an oral will?,Law of Succession Act
"What is the purpose of the will attested by two or more competent witnesses, each of whom must have seen the testator sign or affix his mark to the will, or have seen some other person sign the will, in the presence and by the direction of the testator, or have received from the testator a personal acknowledgement of his signature or mark, or of the signature of that other person?",Law of Succession Act
What is the name of the person who must sign the will in the presence of the testator?,Law of Succession Act
"If a testator, in a will or codicil, refers to another document then actually written, and expressing any part of his intentions, what document, where it is clearly identified as the document to which the will refers, shall be considered as forming part of the will or codicil in which it is referred to?",Law of Succession Act
"What shall be considered as insufficiently attested by reason of any benefit thereby given, either by way of bequest or by way of appointment to any person attesting it, or to his or her spouse?",Law of Succession Act
What is the purpose of a witness to prove the execution of the will or to prove the validity or invalidity thereof?,Law of Succession Act
"What is a written will executed before the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the testator dies before or after the commencement of this Act, if the?",Law of Succession Act
Which of the following is not a state of which the testator was a national either at the time of its execution or on his death?,Law of Succession Act
What may be revoked or altered by the maker of it at any time when he is competent to dispose of his free property by will?,Law of Succession Act
What shall be revoked by an oral will?,Law of Succession Act
What does a will be revoked in contemplation of marriage with a specified person?,Law of Succession Act
What is a presumption that the will has been duly executed?,Law of Succession Act
What is the name of the person who has been duly executed?,Law of Succession Act
What kind of will has been revoked by the reexecution of a will?,Law of Succession Act
What shall be construed in accordance with the provisions of the First Schedule to this Act?,Law of Succession Act
What does the Second Schedule refer to?,Law of Succession Act
What does the Third Schedule provide for in order to elect beneficiaries under testamentary gifts or dispositions?,Law of Succession Act
