question,act
What is the name of the Act of Parliament to amend and consolidate the various laws relating to marriage and divorce and for connected purposes?,Marriage Act
What Act may be cited as the Marriage Act?,Marriage Act
What is the term for a person who has not attained the age of eighteen years?,Marriage Act
"What is the term for a person who is a Hindu by religion in any form (including a Virashaiva, a Lingayat and a follower of the Brahmo, Prarthana or Arya Samaj)?",Marriage Act
"What is the meaning of a declaration made under section 8, including an originally polygamous or potentially polygamous marriage; ""party"", in relation to a marriage, an intended marriage or a purported marriage, means a spouse in a marriage, or the intended spouse to a marriage or purported spouse in a marriage; ""prohibited marriage relationship"" has the meaning assigned to it in section 10; ""Registrar"" means a person appointed under section 50 of this Act; ""spouse"" means a husband or a wife; and ""witness"" means to be present at, to observe, and to attest to the celebration of a marriage by signing ones name to or putting ones mark on a marriage certificate.?",Marriage Act
What is the legal status of the parties to an Islamic marriage?,Marriage Act
What does a person do if he has attained the age of eighteen years?,Marriage Act
"Who is not competent to act as a witness if that person is—(a) below the age of eighteen years;(b) otherwise not competent to enter into a contract because of—(c) unable to understand, whether through an interpreter or otherwise, the language in which the ceremony is held?",Marriage Act
What may be registered under this Act if it is celebrated?,Marriage Act
What is the name of the Secretary of State of Kenya?,Marriage Act
What type of marriage may be converted from being a potentially polygamous marriage to a monogamous marriage if each spouse voluntarily declares the intent to make such a conversion?,Marriage Act
What does the Registrar need to do to register the marriage as monogamous?,Marriage Act
What type of marriage does a married person have in a monogamous marriage?,Marriage Act
"What is the name of a person who, by this section, is forbidden to marry?",Marriage Act
What is the name of the person who profess the Islamic faith?,Marriage Act
"Which of the following is not a legal term for a union: b) the parties are within the prohibited marriage relationship; c) the parties are within the prohibited marriage relationship; d) by order made under section 25, the court has directed that the intended marriage is not to be contracted; e) the consent of either party has not been freely given; f) either party is absent from the ceremony; g) both parties knowingly and willfully permit a person who is not authorised to do so to celebrate the union; g) both parties knowingly and willfully permit a person who is not authorised to do so to celebrate the union; g) both parties knowingly and willfully permit a person who is not authorised to do so to celebrate the union; g) both parties knowingly and willfully permit a person who is not authorised to do so to celebrate the union; g) both parties knowingly and willfully permit a person who is not authorised to do so to celebrate the union; g) both parties knowingly and willfully permit a person who is not authorised to do so to celebrate the union; g) both parties knowingly?",Marriage Act
What does the party who purports to give it?,Marriage Act
What is the legal basis for a marriage that is voidable if a party is not able to consummate it?,Marriage Act
"What is the spouse entitled to claim, in any action resulting from a negligent act, omission or breach of duty, which causes loss of the companionship of the other, or damages in respect of that loss?",Marriage Act
What type of agreement does a civil marriage have?,Marriage Act
What may be the reason for a widow or a widower not to re-marry?,Marriage Act
What does a marriage registered under this Act subsist until it is determined by— (a) the death of a spouse; (b) a decree declaring the presumption of the death of a spouse; (c) a decree of annulment; (d) a decree of divorce; or (e) a decree of divorce or annulment obtained in a foreign country and recognized in Kenya under this Act.?,Marriage Act
What is a part of a marriage where a party to the marriage professes the Christian religion?,Marriage Act
What is the term for a licensed church minister appointed by the registrar under section 50?,Marriage Act
What is the purpose of a written notice of objection to an intended marriage?,Marriage Act
"Upon receiving a notice of objection, the person in charge of a public place of worship shall hear the objection forthwith and if the person in charge of a public place of worship considers that the objection requires a further hearing, he or she shall postpone the marriage ceremony until such time as the objections will be determined in accordance with the church regulations. (2) The person in charge of a public place of worship shall determine an objection within a reasonable period which shall not be more than seven days after hearing the objection. (3) Upon determination of an objection, the person in charge of public place of worship shall prepare and submit a report of the process of determination of the objection in the prescribed form to the parties and the Registrar within seven days of determination.?",Marriage Act
