question,act
What is the purpose of the Act of Parliament to give effect to Article 54 of the Constitution?,Persons with Disabilities Act
"What Act may be cited as the Persons with Disabilities Act, 2025?",Persons with Disabilities Act
What is the term for adjustment order made by the Council under section 31 of this Act?,Persons with Disabilities Act
"What does “disability mainstreaming” mean in all political, economic and societal spheres so that persons with disabilities benefit equally and inequality is not perpetuated?",Persons with Disabilities Act
"What is the name of a person registered or licensed as a medical practitioner under the Medical Practitioners and Dentists Act, (Cap 253)?",Persons with Disabilities Act
What is the meaning of the Medical Practitioners and Dentists Act?,Persons with Disabilities Act
What is the purpose of providing services to persons with disabilities?,Persons with Disabilities Act
What is the definition of “universal design”?,Persons with Disabilities Act
What is the definition of a specialized design?,Persons with Disabilities Act
"What are the principles of respect for inherent dignity and individual autonomy, including the freedom to make one’s own choices, and the independence of all persons in the conduct of their private affairs?",Persons with Disabilities Act
What is a legal term for a child with a disability?,Persons with Disabilities Act
What is the purpose of the national government to develop policies on the protection and promotion of the rights of persons with disability?,Persons with Disabilities Act
What is the purpose of implementing affirmative action measures in procurement of national government goods and services by implementing preferential procurement for persons or entities managed by persons with disability?,Persons with Disabilities Act
What does the law entail in order to ensure inclusion of persons with disabilities in all mainstream programs and interventions?,Persons with Disabilities Act
What is the purpose of implementing national policies for the protection and promotion of the rights of persons with disability?,Persons with Disabilities Act
"What is the name, age and place of residence of the person; and (g) ensure inclusion of persons with disability in all mainstream programs and interventions?",Persons with Disabilities Act
What is the cause of disability of the person?,Persons with Disabilities Act
What is the purpose of the county executive committee member to designate a public officer within the county public service or constitute a committee to perform such functions as the county executive member may determine?,Persons with Disabilities Act
What is the name of the county executive committee member who shall consider necessary for the performance of the functions of the committee?,Persons with Disabilities Act
What is the legal basis for discrimination against persons with disabilities?,Persons with Disabilities Act
"What is the legal right of persons with disabilities to have the right to own and inherit property, to control their own financial affairs and to have access to savings and loan facilities, mortgages and other forms of financial credit on an equal basis with others?",Persons with Disabilities Act
What is the right of every adult person with disability to marry a person of the opposite sex and form a family based on free and full consent?,Persons with Disabilities Act
What is the purpose of this law?,Persons with Disabilities Act
"What is the right of every woman with disability to participate in social, economic and political decision-making and other related activities, including the right to participate in social, economic and political decision-making and other related activities?",Persons with Disabilities Act
What is the primary consideration of the child with disabilities?,Persons with Disabilities Act
What is the legal basis of the law?,Persons with Disabilities Act
What is the purpose of the Council in consultation with National and County Governments and other state agencies to ensure that the rights of youth with disability are fully respected?,Persons with Disabilities Act
What does the law entail?,Persons with Disabilities Act
What is the right to exercise their legal capacity and that appropriate measures and safeguards are put in place to provide them with the support they may require to exercise their legal capacity?,Persons with Disabilities Act
"What is the right to be issued with a certificate of birth, national identification card, passport, disability identification card and any other document of registration or identification free of charge?",Persons with Disabilities Act
"What is the right of every person with disability to respect for his or her physical and mental integrity and the right to security of the person including his or her survival, liberty, protection and development?",Persons with Disabilities Act
What is the right of every person with a disability to be respected and protected?,Persons with Disabilities Act
What is the purpose of this law?,Persons with Disabilities Act
What is the purpose of this law?,Persons with Disabilities Act
"What does the Kenya Defence Forces, the National Police Service and any other establishment, whether public or private, engage in emergency or humanitarian services shall take appropriate measures to ensure the safety and protection of persons with disabilities in situations of risk?",Persons with Disabilities Act
"What are some of the situations of risk include fire, floods, earthquakes, epidemics, cattle rustling, ethnic conflicts and terrorism?",Persons with Disabilities Act
What does the law entail in order to ensure continued improvement of the economic and social conditions of persons with disabilities?,Persons with Disabilities Act
"What does the National government do to ensure that persons with disabilities have access to inclusive education, without discrimination and on an equal basis at all levels?",Persons with Disabilities Act
"What is the purpose of the Council in consultation with relevant Government establishments to ensure that—(a) learning institutions take into account the needs of persons with disabilities with respect to the set entry requirements, pass marks, curriculum, examinations, auxiliary services, use of school facilities, class schedules, physical education requirements and other similar considerations; (b) learning institutions provide individualized support measures, appropriate equipment, assistive devices, adaptive technologies and other supportive services in environments that maximize academic and social development, consistent with the goal of full inclusion of students with disabilities; (c) the Ministry responsible for education formulates strategies to implement inclusive education through—(i) enforcement of recruitment and retention of special education teachers in all schools and institutions; (ii) adaptation and structural adjustments of all educational institutions to what?",Persons with Disabilities Act
What is the purpose of a certificate to children with intellectual disabilities after completion of their education?,Persons with Disabilities Act
In addition to subsection (11) the court may order unconditional admission of the person with disabilities?,Persons with Disabilities Act
"What does the Council work in consultation with relevant agencies of National and County Governments to make provisions for an integrated system of special and non-formal schools and institutions, especially for the deaf, the blind, the deaf blind and those with developmental disabilities?",Persons with Disabilities Act
What is the purpose of the Braille and Recorded Libraries for Persons with Visual Disabilities?,Persons with Disabilities Act
"What is the purpose of every employer to discriminate against a person with disability in job application procedures, hiring, advancement and other terms, conditions, and privileges of employment?",Persons with Disabilities Act
What is a form of discrimination against persons with disabilities?,Persons with Disabilities Act
What is the best title for the passage?,Persons with Disabilities Act
What is the purpose of subsection (5) of subsection (5) for purposes of employment?,Persons with Disabilities Act
What does the law entail?,Persons with Disabilities Act
