question,act
What is the name of the Act of Parliament to establish a Small Claims Court; to provide for the jurisdiction and procedures of the Court and for connected purposes?,Small Claims Court Act
What does the Small Claims Court Act refer to?,Small Claims Court Act
What is the term for a person who lodges a claim with a Small Claims Court and includes any person who becomes a party to the proceedings on any claim in the capacity of a claimant?,Small Claims Court Act
"What is the meaning of ""Gazette"" under article 260 of the Constitution?",Small Claims Court Act
"How many shillings or such other sum as the Chief Justice may determine by notice in the Gazette; ""respondent"" means any person against whom a claim is made and any person who becomes a party to the proceedings on any claim in the capacity of a respondent in any proceedings under this Act; and ""Rules"" means the Rules made under section 50 of this Act. [Act No. 5 of 2020, s. 2]?",Small Claims Court Act
What is the purpose of the Court to adopt such procedures as the Court deems appropriate to ensure— (a) the timely disposal of all proceedings before the Court using the least expensive method; (b) equal opportunity to access judicial services under this Act; (c) fairness of process; and (d) simplicity of procedure.?,Small Claims Court Act
What is a legal term for a person who is not a lawyer?,Small Claims Court Act
What is the name of the court that is established as the Small Claims Court which shall be a subordinate Court pursuant to Article 169(1)(d) of the Constitution?,Small Claims Court Act
What is the name of the person who has at least three years' experience in the legal field?,Small Claims Court Act
"What does the Judicial Service Commission appoint a number of Adjudicators, registrars and other officers of Small Claims Courts?",Small Claims Court Act
What does an adjudicator do on first appointment?,Small Claims Court Act
What is the name of the person who is qualified to be appointed as a Registrar under this Act?,Small Claims Court Act
"What shall the Registrar do as the Chief Registrar in this Act and other duties as the Chief Registrar may direct, and in particular, be responsible for— (a) the establishment and maintenance of the Register in which all records of the Court shall be kept; (b) the acceptance, transmission, service and custody of documents in accordance with the Rules; (c) the enforcement of the decisions of the Court; (d) certifying that any order, direction or decision is an order, direction or decision of the Court; (e) causing to be kept records of the proceedings and minutes of the Court and such other records as that Court may direct; (f) managing and supervising the staff of the Court; (g) the day to day administration of the Court; and (h) facilitating access to judgments and records of the Court.?",Small Claims Court Act
What is the purpose of the Registrar to consider and dispose of procedural or administrative matters in accordance with the Rules or on direction of the Adjudicator?,Small Claims Court Act
What may the Adjudicator do if he is not satisfied with the decision of the Registrar?,Small Claims Court Act
What shall the Chief Justice do to ensure that such Courts are accessible in every sub-county and progressively in other decentralized units of judicial service delivery?,Small Claims Court Act
What does the Court have jurisdiction to determine any civil claim relating to a contract for sale and supply of goods or services?,Small Claims Court Act
What is the name of the court in which the Chief Justice thinks fit?,Small Claims Court Act
"Which of the following is not a cause of action: defamation, defamation, or defamation?",Small Claims Court Act
"What does a claim not be brought before the Court if the cause of action is founded upon defamation, libel, slander, malicious prosecution or is upon a dispute over a title to or possession of land, or employment and labour relations?",Small Claims Court Act
