question,act
"What is TAX PROCEDURES ACT CAP. 469B An Act of Parliament to harmonise and consolidate the procedural rules for the administration of tax laws in Kenya, and for connected purposes?",Tax Procedures Act
What does the Tax Procedures Act refer to?,Tax Procedures Act
What is the purpose of this Act to provide uniform procedures for—a) consistency and efficiency in the administration of tax laws; (b) facilitation of tax compliance by taxpayers; and (c) effective and efficient collection of tax.?,Tax Procedures Act
What is the meaning of an advance assessment made by the Commissioner under section 30?,Tax Procedures Act
"What is the meaning of the name of the company that the Cabinet Secretary has, by order, declared to be a company for the purposes of this Act?",Tax Procedures Act
What is the meaning of a default assessment made by the Commissioner under section 29?,Tax Procedures Act
What is the meaning of “Land Registrar”?,Tax Procedures Act
What is the name of the person who has a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse?,Tax Procedures Act
What is the legal term for a person who is not a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of a spouse of?,Tax Procedures Act
What does tax avoidance mean?,Tax Procedures Act
What is the name of the person who has paid all the tax due based on self-assessment or has made an arrangement with the Commissioner to pay any tax due?,Tax Procedures Act
How does tax law apply to self-assessment taxpayers under section 31(2)?,Tax Procedures Act
What is the term for a person liable for tax under a tax law if or not they have accrued any tax liability in a tax period?,Tax Procedures Act
What is the term for a person who owes a fiduciary responsibility to an entity treated as a trust under paragraph (b) of the definition of trust?,Tax Procedures Act
What is the meaning of the Income Tax Act (Cap. 470) or the Value Added Tax Act (Cap. 476)?,Tax Procedures Act
How many years did it take for a court to issue a notice of a restraining order to the United States Supreme Court?,Tax Procedures Act
What shall the Commissioner do on demand for the administration of a tax law?,Tax Procedures Act
"What may be deemed to have been made, issued or signed by the Commissioner?",Tax Procedures Act
What is the name of the person who signed the bill?,Tax Procedures Act
"The Commissioner or an authorised person shall, in relation to the administration of a tax law, protect the confidentiality of the documents or information obtained in the course of administering the tax law. (2) Despite subsection (1), the Commissioner or an authorised officer may disclose documents or information obtained in the course of administering a tax law to— (a) another authorised officer for the purposes of carrying out any duty arising under a tax law; (b) an authorised customs officer for the purposes of carrying out any duty under a law related to customs; (c) the Tribunal or a court to the extent necessary for the purposes of any proceedings under a tax law; (d) the Director-General of the Kenya National Bureau of Statistics for the performance of the Director-General’s official duties; (e) the Auditor-General for the performance of the Auditor-General’s official duties; (f) a competent authority of the?",Tax Procedures Act
What is the name of the person receiving documents or information under subsection (2) as if the person were an authorised officer?,Tax Procedures Act
Government of Kenya relating to international tax compliance and prevention of evasion of tax or exchange of information on tax matters shall have effect in the manner specified in such agreements or treaties.?,Tax Procedures Act
What is the common reporting standard for the automatic exchange of financial account information?,Tax Procedures Act
"A reporting financial institution shall comply with the due diligence procedures and record keeping requirements as set out in the common reporting standard Regulations prescribed under subsection (6) and file with the Commissioner—a) an information return on reportable accounts held, managed or administered by that reporting financial institution; or (b) a return marked ""nil"" if no account held, managed or administered by that reporting financial institution is identified as a reportable account.?",Tax Procedures Act
What is the common reporting standard Regulations prescribed under subsection (6)?,Tax Procedures Act
"What is Act No. 8 of 2021, s. 35.)?",Tax Procedures Act
"What does the Act No. 15 of 2017, s. 21.)?",Tax Procedures Act
What shall the Commissioner register a person who has applied for?,Tax Procedures Act
What is the purpose of the Commissioner to register a person who has applied for registration if the Commissioner is satisfied that the person is liable for tax under a tax law?,Tax Procedures Act
What does the Commissioner do on his or her own motion to register a person who was required to apply for registration under subsection (1) but who has not applied for registration?,Tax Procedures Act
What is the name of the person carrying on a business that has a share-holding of ten per cent or more of the issued share capital?,Tax Procedures Act
"If the Commissioner is satisfied that the person is no longer required to be registered for the purpose of a tax law, what shall he or she do?",Tax Procedures Act
Where is the deregistration of a person required to cancel a person’s registration or licence under a tax law?,Tax Procedures Act
What does a tax law prohibit?,Tax Procedures Act
What does the Commissioner do to a person registered for the purposes of a tax law and that person uses the PIN as may be required under this Act?,Tax Procedures Act
