question,act
What is the purpose of the Act of Parliament to review and update the law relating to value added tax?,Value Added Tax Act
What is the name of the Act that may be cited as the Value Added Tax Act?,Value Added Tax Act
What is the name of the person who has been authorised by the Commissioner to perform any functions under or in respect of that provision?,Value Added Tax Act
What is the name of a company formed under any of the following Acts?,Value Added Tax Act
"What is the name of a company formed under the Companies Act (Cap. 486) or a corporate body formed under any other written law, including a foreign law, and includes any association, whether incorporated or not, formed outside Kenya which the Cabinet Secretary may, by order, declare to be a company for the purposes of this Act;?",Value Added Tax Act
"What is the name of the ""electronic notice system"" deleted by Act No. 10 of 2018, s. 12; ""electronic notice system"" deleted by Act No. 10 of 2018, s. 12; ""exempt supplies"" means supplies specified in the First Schedule which are not subject to tax; ""export"" means to take or cause to be taken from Kenya to a foreign country, a special economic zone enterprise or to an export processing zone; ""export processing zone"" means an export processing zone designated under the Export Processing Zones Act (Cap. 517); ""goods"" means tangible movable and immovable property and includes electrical or thermal energy, gas and water, but does not include money; ""hotel"" includes premises commonly referred to as ""service flats"", ""service apartments"", ""beach cottages"", ""holiday cottages"", ""game lodges"", ""safari camps"", ""bandas"" or ""holiday villas"" and other premises or establishments used for similar purposes, but does not include— (i) premises on which the only supply is under a lease or licence of?",Value Added Tax Act
"What is the name of a medical institution approved by the Cabinet Secretary for the time being responsible for health, for the use of the staff and students of that institution?",Value Added Tax Act
"What is the meaning of ""Islamic finance arrangement"" in section 2 of the Income Tax Act?",Value Added Tax Act
"What is the meaning of ""official aid funded project""?",Value Added Tax Act
"What is the meaning of ""Sukuk"" in section 2 of the Public Finance Management Act?",Value Added Tax Act
"What is the meaning of ""Sukuk"" in section 2 of the Public Finance Management Act?",Value Added Tax Act
What is the name of the person who is not a registered person to any person who is not a registered person to any person?,Value Added Tax Act
What is the term for a tax registration certificate issued by the Commissioner under section 34?,Value Added Tax Act
"What is the purpose of this Act, s. 2, Act No. 38 of 2016, s. 26, Act No. 15 of 2017, s. 7, Act No. 10 of 2018, s. 12, Act No. 23 of 2019, s. 17, Act No. 8 of 2021, s. 22, Act No. 9 of 2025, s. 32)?",Value Added Tax Act
What is the rate of tax on a taxable supply made by a registered person in Kenya?,Value Added Tax Act
Which of the following is not a legal term for supplies made over the internet or an electronic network?,Value Added Tax Act
"What is Act No. 10 of 2018, s. 13, Act No. 23 of 2019, s. 18, L.N. 35/2020, r. 2, Act No. 2 of 2020, Sch., L.N. 206/2020, r. 2, Act No. 2 of 2020, Sch., L.N. 206/2020, r. 2, Act No. 8 of 2021, s. 23, Act No. 22 of 2022, s. 24, Act No. 4 of 2023, s. 30)?",Value Added Tax Act
What does the Cabinet Secretary have to do to amend the rate of tax by increasing or decreasing any of the rates of tax by an amount not exceeding twenty-five per cent of the rate specified in section 5(2)(b)?,Value Added Tax Act
"What is a taxable supply for a registered person who supplies goods or services and the supply is zero rated, but it shall, in all other respects, be treated as a taxable supply, if the goods or services are of the description for the time being specified in the Second Schedule?",Value Added Tax Act
"If a person is not registered or unregistered in Kenya, the supply of services shall be deemed to be made in Kenya if the recipient of the supply is a registered or unregistered person and—(a) the services are physically performed in Kenya by a person who is in Kenya at the time of supply; (b) the services are directly related to immovable property in Kenya; (c) deleted by Act No. 9 of 2025, s. 33(a)(ii); (d) the services are electronic services delivered to a person in Kenya at the time of supply; or (e) the supply is a transfer or assignment of, or grant of a right to use, a copyright, patent, trademark, or similar right in Kenya.?",Value Added Tax Act
What is the name of the telecommunications network in Kenya?,Value Added Tax Act
"If a supply of imported taxable services is made to any person, the person shall be deemed to have made a taxable supply to himself. (1A) The provisions of subsection (1) shall not apply to taxable supplies made under subsection (1). (2) If the person referred to in subsection (1) is a registered person and is entitled to—(a) a credit for part of the amount of input tax payable, the value of the taxable supply under subsection (1) shall be reduced by an amount equal to the supply that is entitled for the input tax credit; or (b) a full input tax credit payable on the imported taxable services under subsection (1), the value of the taxable services shall be reduced to zero. (3) The output tax in respect of a deemed taxable supply under subsection (1) shall be payable at the time of the supply.?",Value Added Tax Act
"What does the Act No. 23 of 2019, s. 19, Act No. 8 of 2021, s. 24, Act No. 22 of 2022, s. 25)?",Value Added Tax Act
What is the legal basis for a supply of goods in Kenya?,Value Added Tax Act
"Where is the time of supply of goods by means of a vending machine, meter, or other device operated by use of a coin, note, or token?",Value Added Tax Act
What is the time of supply of imported goods?,Value Added Tax Act
"What is the time supply for exported goods shall be the time when the certificate of export or such other equivalent export document has been issued by Customs. (Act No. 23 of 2019, s. 20, Act No. 4 of 2023, s. 32, Act No. 12 of 2024, s. 18)?",Value Added Tax Act
