question,act
What is the name of the Act of Parliament to provide for compensation to employees for work related injuries and diseases contracted in the course of their employment and for connected purposes?,Work Injury Benefits Act
What may be cited as the Work Injury Benefits Act?,Work Injury Benefits Act
What is the term for a person defined as a dependant in section 6?,Work Injury Benefits Act
Medical Practitioners and Dentists Act?,Work Injury Benefits Act
"What does ""scheduled disease"" mean, a condition of temporary nature caused by an accident which results in the loss of or diminution of wage-earning capacity in the work at which such employee was employed at the time of accident?",Work Injury Benefits Act
"What does this Act apply to all employees, including employees employed by the Government, other than the armed forces, in the same way and to the same extent as if the Government were a private employer?",Work Injury Benefits Act
"What does the term ""employer"" mean?",Work Injury Benefits Act
What is the name of a person who is not authorized to work for the employer?,Work Injury Benefits Act
What is the term for a person who has been employed for wages or a salary under a contract of service and includes an apprentice or indentured learner?,Work Injury Benefits Act
What is the name of a member of the Defence Forces as defined in the Kenya Defence Forces Act (Cap. 199)?,Work Injury Benefits Act
"What is the name of the parent, step-parent or an adoptive parent who adopted such employee if he adopted prior to the accident or death?",Work Injury Benefits Act
What kind of compensation does a widow have to pay?,Work Injury Benefits Act
"What shall every employer obtain and maintain an insurance policy, with an insurer approved by the Cabinet Secretary in respect of any liability that the employer may incur under this Act to any of its employees?",Work Injury Benefits Act
"What is the purpose of this Act to any employer who contravenes the provisions of subsection (1) commits an offence and shall on conviction be liable to a fine not exceeding one hundred thousand shillings or imprisonment for a term not exceeding three months, or to both?",Work Injury Benefits Act
What is the purpose of registering with the Director and furnishing the Director with the prescribed particulars of their business?,Work Injury Benefits Act
What is a legal term for a business?,Work Injury Benefits Act
What shall an employer do if it fails to comply with any provision of this section?,Work Injury Benefits Act
What is the purpose of this Act for an employee who is involved in an accident resulting in the employee’s disablement or death?,Work Injury Benefits Act
What is deemed to be in the course of an injury if the employee suffers a degree of permanent disablement of forty percent or more?,Work Injury Benefits Act
What is a degree of permanent disablement?,Work Injury Benefits Act
