question,act,retrieved_act,section,similarity,answer_text,doc_id
What is the purpose and scope of the Children Act?,Children Act,Children Act,Preamble – Preamble,0.729575902,"﻿CHILDREN ACT An Act of Parliament to give effect to Article 53 of the Constitution; to make provision for children rights, parental responsibility, alternative care of children including guardianship, foster care placement and adoption; to make provision for care and protection of children and children in conflict with the law; to make provision for, and regulate the administration of children services; to establish the National Council for Children’s Services and for connected purposes",413151f93cce9d9dc545e91345e6358768114435f56ad9bef5948316202978da
Which authority is responsible for administering and enforcing the Children Act?,Children Act,Children Act,1 – Local Authorities,0.68571502,The county governments responsible for the areas falling under the local authorities appointed under section 41 of the Children Act 2001 (repealed) shall be the county government entities for purposes of this Act.,bd6eaffabd77bd29e2f6f8c7777cfd83cbf56135d4285e89c01c1f100f0276ea
What definitions in the Children Act are most critical for compliance?,Children Act,Children Act,2 – Interpretation,0.67847231,"the Cabinet Secretary may, in consultation with a county government, approve or license as a childcare facility; ‘Children’s Court’ means a Court designated as a Children Court under Part VIII; ""charitable children’s institution"" means a children’s home or institution established by any person, either alone or in association with others, or by a civil society organisation and which has been duly registered with the Council for the purpose of managing programmes for the care, protection, rehabilitation and reintegration or control of children; ""Children’s institutions"" means institutions established under Part VII; ""child in conflict with the law"" means a person who is above the age of twelve years, but below the age of eighteen years, who has been dealt with or punished in accordance with Part XV of this Act or any other written law for contravention of the law; ""child labour"" means work...",0182dd49e2b6db468553361a495579d85e666f808e7ec6913b259504afd7a3d4
"What licences, permits, or approvals are required under the Children Act?",Children Act,Children Act,2 – Interpretation,0.656366318,"the Cabinet Secretary may, in consultation with a county government, approve or license as a childcare facility; ‘Children’s Court’ means a Court designated as a Children Court under Part VIII; ""charitable children’s institution"" means a children’s home or institution established by any person, either alone or in association with others, or by a civil society organisation and which has been duly registered with the Council for the purpose of managing programmes for the care, protection, rehabilitation and reintegration or control of children; ""Children’s institutions"" means institutions established under Part VII; ""child in conflict with the law"" means a person who is above the age of twelve years, but below the age of eighteen years, who has been dealt with or punished in accordance with Part XV of this Act or any other written law for contravention of the law; ""child labour"" means work...",0182dd49e2b6db468553361a495579d85e666f808e7ec6913b259504afd7a3d4
What is the procedure for applying for approvals under the Children Act?,Children Act,Children Act,"8 – A children’s institution that was receiving public funds for implementing functions under the repealed Act shall, upon the coming into force of this Act, continue to discharge its functions for period not exceeding two years and shall within that period—",0.68743521,(a) apply to the Cabinet Secretary for designation as a children rescue under this Act; (b) apply to the Council for registration and approval of its child welfare programme under this Act.,58190527dbd2061a86669024cd604884ede1c920fe64203b0e622f4db87670bd
What duties or obligations does the Children Act impose on regulated persons or entities?,Children Act,Children Act,3 – Objects of the Act,0.692202389,"The objectives of this Act are to— (a) give effect to the provisions of Articles 27, 47, 48, 49, 50, 51 and 53 of the Constitution on matters relating to children; and (b) give effect to the State’s obligations concerning the wellbeing of children in accordance with the general rules of international law, treaties and conventions ratified by Kenya.",c06d36362b496eaa8aeb41671225da02d5885525498dbcd6846c8e771a7c9251
What records must be kept to comply with the Children Act?,Children Act,Children Act,95 – General principles with regard to proceedings in Children’s Court,0.669096172,"under this Act or under any other written law, a person shall not publish or reveal in any publication or report, including any law report, any of the following matters— (a) a child’s name, identity, home or last place of residence or school; (b) the particulars of the child’s parents or relatives; or (c) any photograph, depiction or caricature of the child. (6) The Registrar of the Children’s Court shall cause to be marked all records of the Court concerning a child so as to indicate that such records relate to matters involving a child, and such records shall only be available to any person without disclosure of any of the particulars specified in subsection (5). (7) For the avoidance of doubt, the name or other particulars of the child shall be marked to indicate that they concern a child, and access may be restricted and available only without particulars as specified in subsection (...",b4c8ea62587de8d99e51b0afe4df6d712ce69b8a0f3e1556838cdabaa76099e8
"What fees, charges, or levies may be imposed under the Children Act?",Children Act,Children Act,1 – Short title,0.663842231,This Act may be cited as the Children Act.,03b9feac35db2e72e6bab0ab4867c81106c9a4d8a673585806d767d5b10bb6e3
What are the offences and penalties provided for under the Children Act?,Children Act,Children Act,220 – Rights of a child offender,0.716664284,"(1) A child offender has the right to privacy during arrest, the investigation of the offence and at any other stage of the cause of the matter. (2) A person shall not in the course of arrest, investigation or trial of an offence connected with a child offender, or at any other stage of the course of the matter, release any information for publication that may lead to the identification of the child offender. (3) Any person who contravenes subsection (2) commits an offence and is liable on conviction to a fine not exceeding five hundred thousand shillings or to imprisonment for a term not exceeding 12 months, or to both.",f2b24e0efc0580076eeee5bfe5a2b0b9ca635f1f464a041c1623c6eb7cd42c1b
How are inspections and enforcement actions carried out under the Children Act?,Children Act,Children Act,218 – Assessment of a child on arrest,0.673788071,"(1) A police officer who arrests, serves a summons or issues with a written notice to child shall notify the parent or guardian of the child and the Secretary or an authorised officer within twenty four hours. (2) A Children’s Officer who receives a notification under subsection (1) shall assess and submit a report to the police officer on— (a) a social inquiry on the child to ascertain the social, economic, personal circumstances, and the needs of the child; (b) the child’s tendency to engage in activities which is in conflict with the law; and (c) the surrounding facts and circumstances leading to the child’s conduct in conflict with the law. (3) A Children’s Officer shall assess a child under subsection (1) in an environment that is secure and is friendly to a child that may include a room in a police station, the children’s Court or the offices of the Secretary. (4) A Children’s Offi...",ff63096cf370c5bea24b410bbf6376a32be97dcf4c3c689436b06662d3eb532c
