question,act,retrieved_act,section,similarity,answer_text,doc_id
What are the rights of a child under the Children Act?,Children Act,Children Act,"28 – Right to assemble, demonstrate, petition and participate in public life",0.751818806,"(1) Every child has the right, peaceably and unarmed, to assemble, demonstrate or present petitions to public authorities, and to freely participate in matters affecting children through lawfully established forums, associations, and assemblies at the national and county levels. (2) The right of a child to assemble, demonstrate, and to present petitions, shall be subject to the rights of others. (3) In addition to the rights guaranteed under subsections (1) and (2), every child shall have the right to express their views in all matters affecting them, and have those views heard and given due weight in accordance with the child's age and maturity. (4) The right guaranteed under subsection (3) shall be exercised— (a) in accordance with the national values and principles of governance prescribed in Article 10 (2) of the Constitution. (b) voluntarily by a child and without any undue influenc...",23ad9888b67005051008dfb868d20511fd06f269e568874288b17b3671f8bfc9
Who can apply for custody of a child?,Children Act,Children Act,102 – Custody order,0.74129203,"(1) A Court may, on the application of one or more persons qualified under subsection (3), make an order vesting the legal custody of a child in the applicant or applicants. (2) An order under subsection (1) may be referred to as a custody order, and the person to whom legal custody of the child is awarded is referred to as the custodian of the child. (3) Any of the following persons may be granted custody of a child— (a) a parent; (b) a guardian; (c) any person who applies with the consent of a parent or guardian of a child and has had actual custody of the child for a period of three years preceding the making of the application, unless the Court is satisfied on evidence that a shorter period is sufficient to justify an order made in determination of the application; or (d) any person who, while not falling within paragraphs (a), (b) or (c), can show cause, having regard to section 101...",43786cc7f1bf9b01c84c0958b7ef84fdd937b4071dd222094bd833eb4c65eb4c
How is adoption regulated under the Children Act?,Children Act,Children Act,42 – Functions of the Council,0.731265992,"a database of adopted children in consultation with the Registrar; (ee) promote co-operation between state agencies, local and non-state agencies concerned with matters relating to adoption with central adoption authorities in other countries including tracing and repatriation of children in need of care and protection; (ff) review and make recommendations to the Cabinet Secretary for approval of fees chargeable by adoption societies for the processing of applications for adoption; (gg) make recommendations to the Cabinet Secretary on matters relating to the fees chargeable for registration and licensing of adoption societies; (hh) monitor, prepare and submit to the Cabinet Secretary annual reports on matters relating to adoption; and (ii) any other functions as maybe conferred on this Act.",10123c9f70eb618a48d86a861f4d728f532f6facb9c094e6d38e680684d168d3
What is the role of the Children’s Court?,Children Act,Children Act,2 – Interpretation,0.690926492,"the Cabinet Secretary may, in consultation with a county government, approve or license as a childcare facility; ‘Children’s Court’ means a Court designated as a Children Court under Part VIII; ""charitable children’s institution"" means a children’s home or institution established by any person, either alone or in association with others, or by a civil society organisation and which has been duly registered with the Council for the purpose of managing programmes for the care, protection, rehabilitation and reintegration or control of children; ""Children’s institutions"" means institutions established under Part VII; ""child in conflict with the law"" means a person who is above the age of twelve years, but below the age of eighteen years, who has been dealt with or punished in accordance with Part XV of this Act or any other written law for contravention of the law; ""child labour"" means work...",0182dd49e2b6db468553361a495579d85e666f808e7ec6913b259504afd7a3d4
How is maintenance of a child enforced in Kenya?,Children Act,Children Act,31 – Equal parental responsibility,0.730668306,"(ii) determine the name of the child; (iii) procure registration of the birth of his or her child; (iv) appoint a legal guardian in respect of the child; (v) receive, recover and otherwise deal with the property of the child for the benefit, and in the best interests, of the child; (vi) facilitate or restrict the migration of the child from or within Kenya; (vii) upon the death of the child, to arrange for the burial, cremation of the child or any other acceptable method of interment; and (d) the duty to ensure that, during the temporary absence of the parent or guardian, the child shall be committed to the care of a fit person. (3) Whether or not a person has parental responsibility over a child shall not affect— (a) any obligation which such person may have in relation to the child, such as a statutory duty to maintain the child; or (b) any rights which, in the event of the child’s dea...",31508648fe38826ec1d7f8759bd3e073c490b6bd81f5be1d9c5797e5d585be71
What are the national values and principles of governance?,Constitution of Kenya,Constitution of Kenya,10 – National values and principles of governance,0.81927675,"(1) The national values and principles of governance in this Article bind all State organs, State officers, public officers and all persons whenever any of them— (a) applies or interprets this Constitution; (b) enacts, applies or interprets any law; or (c) makes or implements public policy decisions. (2) The national values and principles of governance include— (a) patriotism, national unity, sharing and devolution of power, the rule of law, democracy and participation of the people; (b) human dignity, equity, social justice, inclusiveness, equality, human rights, nondiscrimination and protection of the marginalised; (c) good governance, integrity, transparency and accountability; and (d) sustainable development.",65d023cb18b3eba78d9cfcf631e8960cc069fe63e366e1bd8cccb75a02c55a8b
How can a person enforce their fundamental rights under the Constitution?,Constitution of Kenya,Constitution of Kenya,"51 – Rights of persons detained, held in custody or imprisoned",0.689207971,"(1) A person who is detained, held in custody or imprisoned under the law, retains all the rights and fundamental freedoms in the Bill of Rights, except to the extent that any particular right or a fundamental freedom is clearly incompatible with the fact that the person is detained, held in custody or imprisoned. (2) A person who is detained or held in custody is entitled to petition for an order of habeas corpus. (3) Parliament shall enact legislation that— (a) provides for the humane treatment of persons detained, held in custody or imprisoned; and (b) takes into account the relevant international human rights instruments. Part 3 – Specific application of rights",561a3fdfa299113e191abb1c822610cf191101269c11b7ec53b81fd63c00a21f
What is the role of the Senate in Kenya?,Constitution of Kenya,Constitution of Kenya,93 – Establishment of Parliament,0.732815862,"(1) There is established a Parliament of Kenya, which shall consist of the National Assembly and the Senate. (2) The National Assembly and the Senate shall perform their respective functions in accordance with this Constitution.",d2db150cf5f0b6e530835c3719f0f0fe4ec05f66873f69d356ea4e8e827051fb
Who can initiate a constitutional amendment?,Constitution of Kenya,Constitution of Kenya,257 – Amendment by popular initiative,0.657881081,"(1) An amendment to this Constitution may be proposed by a popular initiative signed by at least one million registered voters. (2) A popular initiative for an amendment to this Constitution may be in the form of a general suggestion or a formulated draft Bill. (3) If a popular initiative is in the form of a general suggestion, the promoters of that popular initiative shall formulate it into a draft Bill. (4) The promoters of a popular initiative shall deliver the draft Bill and the supporting signatures to the Independent Electoral and Boundaries Commission, which shall verify that the initiative is supported by at least one million registered voters. (5) If the Independent Electoral and Boundaries Commission is satisfied that the initiative meets the requirements of this Article, the Commission shall submit the draft Bill to each county assembly for consideration within three months af...",ca5dc1b11d10c1716612bd94b309b91b23d06333634c1ff16a07468c0d8085f0
What are the functions of county governments?,Constitution of Kenya,Constitution of Kenya,34 – Tourism policy and development.,0.743426681,Part 2 – COUNTY GOVERNMENTS The functions and powers of the county are—,ffb30162a28cb681bc53b6886866063458dd8ecfca8ed15e1f1ba6e3219cc902
What is the procedure for arrest without a warrant?,Criminal Procedure Code,Criminal Procedure Code,31 – Procedure when police officer deputes subordinate to arrest without warrant,0.750949681,"When an officer in charge of a police station requires an officer subordinate to him to arrest without a warrant (otherwise than in his presence) any person who may lawfully be arrested without a warrant under section 30, he shall deliver to the officer required to make the arrest an order in writing specifying the person to be arrested and the offence or other cause for which the arrest is to be made.",20d3b462684cbf9c6562b9a77c446ef93b27c32bc2e4d6db2230507381dba15b
How is bail granted under Kenyan law?,Criminal Procedure Code,Criminal Procedure Code,67 – Accused person to be sent to district where offence committed,0.728239924,"Where a person accused of having committed an offence within Kenya has escaped or removed from the province or district within which the offence was committed and is found within another province or district, the court within whose jurisdiction he is found shall cause him to be brought before it, and shall, unless authorized to proceed in the case, send him in custody to the court within whose jurisdiction the offence is alleged to have been committed or require him to give security for his surrender to that court there to answer the charge and to be dealt with according to law.",6e945d2d332aa3ee66d2024ac79ace109dca936d9a3a465b5f8f8c31160985f2
What is the process of plea taking in Kenya?,Criminal Procedure Code,Criminal Procedure Code,333 – Warrant in case of sentence of imprisonment,0.692893445,"(1) A warrant under the hand of the judge or magistrate by whom a person is sentenced to imprisonment, ordering that the sentence shall be carried out in any prison within Kenya, shall be issued by the sentencing judge or magistrate, and shall be full authority to the officer in charge of the prison and to all other persons for carrying into effect the sentence described in the warrant, not being a sentence of death. (2) Subject to the provisions of section 38 of the Penal Code (Cap. 63) every sentence shall be deemed to commence from, and to include the whole of the day of, the date on which it was pronounced, except where otherwise provided in this Code. Provided that where the person sentenced under subsection (1) has, prior to such sentence, been held in custody, the sentence shall take account of the period spent in custody. [Act No. 7 of 2007, Sch.]",1ead6e76df59d696866d896469ab596cade9cd5111befd3cb9a45d17122b6dcf
Who can institute criminal proceedings?,Criminal Procedure Code,Criminal Procedure Code,85 – Power to appoint public prosecutors,0.639363676,"(1) The Director of Public Prosecutions, by notice in the Gazette, may appoint public prosecutors for Kenya or for any specified area thereof, and either generally or for any specified case or class of cases. (2) The Director of Public Prosecutions, by writing under his hand, may appoint any advocate of the High Court or person employed in the public service, to be a public prosecutor for the purposes of any case. (3) Every public prosecutor shall be subject to the express directions of the Director of Public Prosecutions. [Act No. 22 of 1959, s. 10, Act No. 7 of 2007, Sch., Act No. 12 of 2012, Sch.]",d364becb42ed7b82d1887cc836f66654cf70e3031af0ddab710b1115696333bd
What are the rights of an accused person during trial?,Criminal Procedure Code,Criminal Procedure Code,324 – Motion in arrest of judgment,0.735570908,"(1) The accused person may, at any time before sentence, whether on his plea of guilty or otherwise, move in arrest of judgment on the ground that the information does not, after any amendment which the court has made and had power to make, state an offence which the court has power to try. (2) The court may either hear and determine the matter during the same sitting, or adjourn the hearing thereof to a future time to be fixed for that purpose. (3) If the court decides in favour of the accused, he shall be discharged from that information.",57dbd0c16037f70f05e84ca1d36b8010c25bb977b279211a585070287aff6a0c
Who is a data controller under the Data Protection Act?,Data Protection Act,Data Protection Act,24 – Designation of the Data Protection Officer,0.774094939,"result in a conflict of interest. (3) A group of entities may appoint a single data protection officer provided that such officer is accessible by each entity. (4) Where a data controller or a data processor is a public body, a single data protection officer may be designated for several such public bodies, taking into account their organisational structures. (5) A person may be designated or appointed as a data protection officer, if that person has relevant academic or professional qualifications which may include knowledge and technical skills in matters relating to data protection. (6) A data controller or data processor shall publish the contact details of the data protection officer on the website and communicate them to the Data Commissioner who shall ensure that the same information is available on the official website. (7) A data protection officer shall— (a) advise the data con...",68abc73bc90dd67c02519997ae6933d823997aed2cd201946498bd4de8f8ddb4
What rights does a data subject have?,Data Protection Act,Data Protection Act,26 – Rights of a data subject,0.790906578,A data subject has a right— (a) to be informed of the use to which their personal data is to be put; (b) to access their personal data in custody of data controller or data processor; (c) to object to the processing of all or part of their personal data; (d) to correction of false or misleading data; and (e) to deletion of false or misleading data about them.,15a27681634a378e149965545130f7cd40c238abe44b0684bc3086c208e25f7a
What constitutes lawful processing of personal data?,Data Protection Act,Data Protection Act,45 – Permitted grounds for processing sensitive personal data,0.74126935,"Without prejudice to section 44, sensitive personal data of a data subject may be processed where— (a) the processing is carried out in the course of legitimate activities with appropriate safeguards by a foundation, association or any other not-for profit body with a political, philosophical, religious or trade union aim and on condition that— (i) the processing relates solely to the members of the body or to persons who have regular contact with it in connection with its purposes; and (ii) the personal data is not disclosed outside that body without the consent of the data subject. (b) the processing relates to personal data which is manifestly made public by the data subject; or (c) processing is necessary for— (i) the establishment, exercise or defence of a legal claim; (ii) the purpose of carrying out the obligations and exercising specific rights of the controller or of the data su...",b473bf279f7ae72612fbd104b1b03f293bfda6aa5274ee651feb80bb7893c14a
What are the obligations of a data processor?,Data Protection Act,Data Protection Act,42 – Particulars of determining organisational measures,0.755371228,"from the data controller and shall be bound by obligations of the data controller. (3) Where a data processor processes personal data other than as instructed by the data controller, the data processor shall be deemed to be a data controller in respect of that processing. (4) A data controller or data processor shall take all reasonable steps to ensure that any person employed by or acting under the authority of the data controller or data processor, complies with the relevant security measures.",451346a8df8432a587e96263301a592a6da0899eff602a812c669859b4997f2b
What is the role of the Data Commissioner?,Data Protection Act,Data Protection Act,5 – Establishment of the Office,0.719210982,"(1) There is established the office of the Data Protection Commissioner which shall be a body corporate with perpetual succession and a common seal and shall in its corporate name, be capable of— (a) suing and being sued; (b) taking, purchasing or otherwise acquiring, holding, charging or disposing of movable and immovable property; (c) entering into contracts; and (d) doing such other legal acts necessary for the proper performance of the functions of the Office. (2) The Office is designated as a State Office in accordance with Article 260(q) of the Constitution. (3) The Office shall comprise the Data Commissioner as its head and accounting officer, and other staff appointed by the Data Commissioner. (4) The Office shall ensure reasonable access to its services in all parts of the Republic. (5) The Data Commissioner shall in consultation with the Cabinet Secretary, establish such direct...",b40cf1c11879b09ca608cc12b6e907318b490502ed60d954188ab33e560e11eb
When can a landlord levy distress for rent?,Distress for Rent Act,Distress for Rent Act,19 – Under-tenant or lodger may make declaration that goods distrained are his property,0.752078876,"(1) If a superior landlord levies, or authorizes to be levied, a distress on any furniture, goods or chattels of— (a) an under-tenant liable to pay by equal instalments not less often than every quarter of a year a rent which would return in any whole year the full annual value of the premises or of such part thereof as is comprised in the under-tenancy; or (b) a lodger; or (c) any other person not being a tenant of the premises or of any part thereof, and not having any beneficial interest in any tenancy of the premises or of any part thereof, for arrears of rent due to the superior landlord by his immediate tenant, the under-tenant, lodger or other person may serve the superior landlord, or the licensed auctioneer or other agent employed by him to levy distress, with a declaration in writing made by the under-tenant, lodger or other person, stating that the immediate tenant has no righ...",4cc8167fd12c1020a6cb1189d444901e21ae3674681c3176bab7a012bc9132d9
